164
Horsfall, Thomas Berry
Hotham, Lord
Howes, Edward
Huddleston, John Walter
HOHumphery, William Henry
Jervis, Captain
Jolliffe,Rt.Hn.SirW.G.H(Peters
Jolliffe, Hedworth Hylton (WeUs
Jonee, David
145Kekewich, Samuel Trchawke
KeIk, John
Kelly, Sir FitzRoy
Kendall;'Nicholas
Kennard, Robert WiUiam
150Ker,-David Stewart
King, John Gilbert (King's Co.)
Knight, Frederick Winn
Knox, Colonel (Marlow)
Knox, Hn.Mnj.Stuart(Dungan.)*
155Lacon, Sir Edmund
Laird, John (Birkenhead)
Langton, W. Gore
Lascelles, Hn. Egremont Wm.
Leader, Nicholas Philpot
160Legh,MnjorCornwall(Chesh.N.)
Lefroy, Anthony
Lennox, Lord Geo. Gordon ( Ly m.
Lennox, Lord Henry G. (CUich.
Leslie, C. Powell
165Lindsay, Hon. Col. Chas.(Abing.
Lindsay,Col. Robt. Loyd( Berks.
Long, Richard Penruddockc
Lopes, Sir Massey
Lowe, Rt. Hon. Robert
170Lowther, James (York)
Lytton, Rt Hn. Sir E. L.BuIwer
Mackie, James
M'Lagan, Peter
Manners,Rt.Hn.LordJ.(Leic.N.
l75Manners,LordGeo.J.(Camb.Co.
Marsh, Matthew Henry
Meiler, Captain
Miller, Stearne Ball (Armagh)
Miller, Taverner Jn.(Colchester)
180Mitford, William Townley
Montagu, Lord Robert
Uth June, 1866.
Montgomery, Sir Graham
Mordaunt, Sir Charles
Morgan, Octavius (Monmouths.
185Morgan, Hon. Maj.(Breconshire
Mowbray, Rt. Hn. John Robert
Naas, Lord
Neeld, Sir John
Neville-Grenville, Ralph
lOONewdegate, Charles Newdigate
North, Colonel
Northcote, Sir Stafford Henry
O'Neill, Edward
Packe, Charles WiIIm. (Leic. S.)
195Packe, Colonel (Lincolnsh. S.)
Paget, Rich. Horner
Pakington, Rt Hon. Sir John
PaIk, Sir Lawrence
Parker, Major Windsor
200Patten, Colonel Wilson
Pauli, Henry
Peel, Rt. Hn.Gen.'(Huntingdon)
Pennant, Hon. Colonel
Percy, Major-Gen. Lord Henry
205Phillips, George Lort (Pembrok.
Powell, Francis Sharp
Pritchard, John
Pugh, David
Read, Clare Sewell
210Repton, George William John
Ridley, Sir Matthew White
Robertson, Patrick F. (Hastings
RoIt, John
Royston, Viscount
215Uussell, Sir Charles (Berkshire)
Sandford.Geo. Montagu Warren
Schreiber, Charles
Sclater-Booth, George
Scott, Lord Henry (Selkirksh.)
220Scourfield, John Henry
Selwin, Henry John (Essex, S.
SeI wyn, Charjes J. (Camb. Univ.
Severne, John Edmund
Seymour, George H. (Antrim Co.
225Sheridan, Rich. Brinsley(Dorch.
Simonds, William Barrow
Smith, SamuelGeo. (Aylesbury)
Smollett Patrick Boyle
Somerset, Colonel
230Stonhppe, James Banks
Stanley, Lord (King's Lynn)
Stanley, Hon. Fred. (Preston)
Stirling-Maxwell, Sir WflUam
Strange, Sir James M.
235Stuart, Lieut Col. Wm.( Bedford)
Sturt, Henry Gerard (Dorset)
Sturt, Lt-CoI. Napier (Dorchot
Surtees, Freville (Durham, 8.)
Surtees, Henry Edw.(Hertfordi
240Sykes, Christopher (Beverley)'
Taylor, Colonel (DublinCo.)
Thorold, Sir John Henry
Thynne, Lord Henry Fred.
Tomline, George
245Tottenhara, Lt.-Col. CharlesGeo.
Tracy, Hn.Chas. R.D.Hanbun
Treeby, John Wright
Trevor, Lord Arth. Edwin HiI
Trollope, Rt Hon. Sir John
250Turner, Charles
Tyrone, Earl of
Vandeleur, Colonel
Verner.Edw. Wingfield (Lisbura
Verner,SirWiUiam(ArmaghCoi
255Walcott, Admiral
Waldegrave-Leslie, Hon.Georgt
Walker, Major George G.
Walpole,Rt.Hn.SpencerHoratu
Walrond, John Walrond
260Walsh, Arthur (Leominster)
Walsh, Sir John (Radnorshire)
Waterhouse, Samuel
Welby, William Earle
Whiteside, Rt. Hon. James
265Whitmore, Henry
WUliams, Colonel (Marlow)
Williams, Fred. Martin (Truro)
Wise, Henry Christopher
Wyndham, Hon. H. (Sussex, W.)
270Wyndham, Hon. P. (Curab.w,
Wynn, SirWatkin W. (Denb'á
Wynn, Chas. W. Williams (Mont
Yorke,-John Reginald
Tellers for the Ayes, Mr. Hunt and Sir Rainald Knightley.
NOES.
Acland, Thomas Dyke
Adair, Hugh Edward
Akroyd, Edward
Allen, William Shepherd
SAmberley, Viscount
Anstruther, Sir Robert
Antrobus, Edmund
Armstrong, Richard
Ayrton, Acton Smee
lOAytoun, Roger Sinclair
Bagwell, John
Baines, Edward
Barclay, Alexander Charles
Baring, Hon.Tho.Geo. (Penryn)
15 Barnes, Thomas
Barry,Clmrles Robt. (Dungarvan
Barry, George Rich. (Cork Co.)
Bass, Michael Thomas (Derby)
Baxter, William Edward
20Bazley, Thomas
Berkeley, Hon. Henry F.
Biddulph, Michael (Herefordsh]
Blake, John Aloysius
Blennerhassett, Sir Rowland
25Bonhara-Carter, John
Bowyer, Sir George
Brady, Dr.
Brecknock, Earl of
Bri{:ht,SirC.Tilston (Greenwii
30Bright, John (Birmingham)
