Il;¡
??-????, (i'tlit-Muii, IH.%'.
Perlethorpe Chapelry Rill,-Motion made, and Question proposed,-" That the Bill be now read· a
second time:"-Amendment proposed, to leave out the word "now," and at'the end of the
Question to add the words "upon this day six months:"-Question put, -'That the word
'now' stand part of the Question :"-The House divided.; Ayes, 71, Noes 51.
Beckett, Rt. Hon. Sir John
IkII, Matthew
Bentinck, Lord George
Bentinck, Lord William
¿Bethell, Richard
Bowes, John
Bradshaw, James.
Bramstoii, Thomas William
Bridgcman, Hewitt
lOCampbcl!; Sir John (Edinhro' )
Chapman, Aaron (Whitby)
Chichester, Arthur (Honiton)
Clive. Edward Bolton
Copeland, William Taylor
15Denison,.J. Evelyn (Nott. Co.)
Divett, Edward
Dugdalc, William Stratford
Estcourt, T, (Devizes)
Fazakcrlcy, John Nicholas
SOFector, John Minct
Forbes, William
Forster, Charles Smith
Gladstone, Thomas (Leicester)
Gladstone, Wi Ewart (Newark)
AYES :
.25Grosvcnor, Lord Robert
Gully, John'
HuIe, Robert Blagden
Hardinge, Rt. Hon. Sir Henry
Hardy, John
30liarland, William Charles
Hay, Sir Andrew Leith
Hcathcoat, John (Tiverton)
IIotham.-Lord
Howard,Philip Henry (Carlisle)
35lrton, Samuel
Kcarsley, John IL-uUon
Lincoln, Earl of
Mackenzie, Stewart
McLeod, Roderick
40McNamara, Major
Maule, Hon. Fox
Meyncll, Captain
Mósley, Sir Oswald
Parry, Sir J-. P. Jones
15 Patten, John Wilson
Foultcr, John Sayer
Praed, James Backwcll (Bucks)
Ross, Charles
San ford, Edward Ayshford
50Scourtield, William Henry
Scropc, George Poulctt
Smyth, Sir Henry (Colchester/
Stanley, Edward (Cumberland)
Stanley, Lord
¿¿Steuart, Robert (Haddington)
Stewart, Sir M. Shaw (Renfrew)
Strickland, Sir George
Stuart.Lord James (AyrBurghs)
Stun, Henry Charles     '
GOTTCvOr,Hon.G.R.(Carmarth's)
Troubriclgc, Sir Ed w.Thomas
Vere, Sir,Charles Broke
Vivian.Major Charles (Bodmin)
WalkcrRichard (Bury)
Ü.OWallace, Robert
Weyland, Major
Wilbraham,Hoh.Rootle(Lanc's)
Wood, Charles (Halifax)
Wrightson, William Buttie
70Wrottcsley, Sir John
Young.Geo. Fred. (Tynemouth)
Tellers for the Ayes, Mr. Granville Vernon and Mr.-Gally Knight.
Baines, Edward
Bannerman, Alexander
Berkeley, Hon. F. (Glo'stcr)
Brady, Denis Caulfield
SBrownrigg, Stiidholmc
Bruce.C. L. Cumming (luvern.)
Bullcr, Charles '(Liskcard)
Burrell, Sir Charles
Burton, Henrv
lOButler, Hon. Pierce
Campbell, Walter Frederick'
Chalmers, Patrick
Chaplin, Colonel
Clay, William
WD'Eyncourt, Rt. Hon.C. T.
Dillwyn, Lewis Weston^
Duncombe, Thomas (Fiiisbnry)
Dundas, J. Deans (Devizes)
NOES :
Elphinstonc, Howard
'JOEwart, William
Fieldcn, John
Goulburn, Mr. Serjeant
Grote, George
Hawes, Benjamin
25Hindlcy, Charles
Hope, James (Linlithgowshire)
Hoy, James Barlow
Hutt, William
Langton, William Gore
ftOLeader, John Temple
Lennox, Lord George (Sussex)
Lister, Ellis Cunliffe
Mangles,'James
Musgrave, Sir Richard
3.5Parro«, Jasper
Pease, Joseph
Pechcll, Captain
Power, James
Pryme, George
lORippon, Cuthbert
Roche, David
Roebuck, John Arthur
Roopcr, John Bonfoy
Stormont, Lord Viscount
45Tancred, Henry William.
Thompson, Colonel (Hull)
Townley, Richard Greaves
Trelawny, Sir. William
Trevor, Hon. Arthur (Durham)
50TuIk, Charles Augustus
Turner, William
Wákley, Thomas-
Williams, William (Coventry.)
Wood, AIv.Alderman (tandon)
Tellers'for the Noes, Mr. Hume and Mr. Colonel Sibthorp·.
« R
