14
Colebjooke, Sir Thomas Edward
Collen, Wm. Rickford (Lincoln)
Couett, John (Athlone)
ConnoDy, Colonel
SOCorry, RL Hon. Henry
Cowper, Hon. W. F.
Craig, William Gibson
Crawford, W. Sharman
Cripps, William
SSCarrle, Raikes
Curteis, Herbert Barrett
Dalmeny, Lord
Dalrymple, Captain
Damar, Hon. Colontl
eODavies, David A. Saunders
Dodd, George
Douglas, Sir Chas. E. (Www.)
Douglas, Jas. D. S.. (Rochester)
Drummond, Henry «Home
esDuckworth, Sir John T. B.
Duke, 8ir James
Duncan, Viscount
Duncan, George
Duncombe, Thomas (Finsbury)
/ODundas, Admiral (Greenwich)
Easthope, Sir John
Eastnor, Viscount
Ebrington, Viscount
Egerton, Wm. Tatton
/oEgerton, Sir Philip
Ellis, Wynn (Leicester)
Elphinstone, Howard
Emlyn, Viscount
Entwisle, William
eOEscott, Bickham
Evans, Sir De Lacy (Westmins.)
Ewart, William
Feilden, William (Blackburn)
Ferguson, Colonel (Kirkaldy)
85Ferguson, Sir Rob. A. (Derry)
Fitzinaurice, Hon. William
Fitzroy, Hon. Henry
Fleetwood. Sir Peter Hesketh
Flower, Sir James
DOForster, Matthew
Fox. Chas. Rich. (Tower Haml.)
Gibson, Thomas Milner
Gordon, Hon. Captain
Gore, Montague (Barnstaple)
95Gore, Hon. Robert (New Ross)
Goring, Charles
Goulburn, Rt. Hon. Henry
Graham, Rt. Hon. Sir James
Grey, Rt. Hon. Sir George
lOOHale, Robert Blagden
Hall, SirBenjamin (Marylebone)
Hamilton, Wm. J. (Newport)
Hamilton, Lord Claud
Hastie, Archibald
JOiHawes, Benjamin
Herbert. Rt. Hon. Sidney
Hervey, Lord Alfred
Hindley, Charles
Hobhouse, Rt Hon. Sir John
1 lOHogg, James Weir
Holiond, Robert
Hope, Alexander (Maidstone)
Hope, Geo. Wm. (Southampton)
Hornby, John
115HowanLHn.C.WG. (CumbarL)
Howard.Hn. Ed.G.G. (Morpeth)
Howard, Philip Henry (Carlisle)
Hughes, William Bulkeley
Hume, Joseph
120Humphery, Mr. Alderman
Hurst, Robert Henry
Irton, Samuel
James, William (Cumberland)
Jermyn, Earl
125Jervis, John
Jocelyn, Viscount
Johnstone, Sir John (Scarbo.)
Jones, Captain
Kelly, Sir FiU Roy (Cambridge)
130Kemble, Henry
Labouchere, Rt. Hon. Henry
Lambton, Hedworth
Längsten, James Haughton
Lascelles, Hon. W. S.
l35Layard, Captain
Loch, James
Lockharjt, Alan Eliott (Selkirk)
Lockhart, William (Lanarksh.)
Lyall, George
140Lygon, Hon. General
Macaulay, Rt. Hon. Thomas B.
M'Carthy, Alexander
McGeachy, Forster AIleyne
M'Taggart, Sir John
MâMahon, Viscount
Mangles, Ross Donnelly
Maijoribanks, Stewart
Marshall, William
Martin, John (Tewkesbury)
ISOMartin, C. Wykeham( Newport)
Masterman, John
Maule, Rt. Hon. Fox
Maxwell, Hon. James Pierce
Mildmay, Humphrey St. John
l55Mitculfe, Henry
Mitchell, Thomas Alexander
Moffntt, George
Morjieth, Viscount
Morris, David
KiONapier, Sir Charles
Neville) Ralph
Nonrys, Sir Denham Jephson
O'Connell, Dan. (Cork)
O'Connell; M.J. (Kerry)
IG50Connell, John (Kilkenny)
Oswald. James (Glasgow)
Palmerston. Viscount
Parker, John
Patten, John Wilson
170Pattison, James
Pechell, Captain
Peel, Rt. Hon. Sir Robert
Peel, Jonathan
Pennant, Hon. Colonel
175Phi!ips, George R. (Poole)
Philips, Mark' (Manchester)
Plumridge, Captain
Protheroe, Edward
Pusey, Philip
180Rawdon, Colonel
Reid, Colonel (Windsor)
Rosa, David Robert
Russell, Lord John (London)
Russell, Lord Edw. (Tavistock)
18fiRussell, Charles (Reading)
Sanderson, Richard
Seymour, Lord
Shelburne, Earl of
Sheridan, Richard Brinsley
190Smith, John Abel (Chichester)
Smythe, Hon. George (Cantero.)
Smollett, Alexander
Somerton, Viscount
Stanley, Hon. W. O. (Anglesey)
195Stansfield,W. R. Crompton
Stanton, William Henry
Staunton, Sir George T.-
Stewart, John (Lymington)
Stuart, Lord James (Ayr)
200Stuart, Henry (Bedford)
Strutt, Edward
Sutton, Hon. Henry M.
Thesiger, Sir Frederic
Thornely, "Thomas
205Trelawny, John Salusbury
Trench, Sir Frederick W.
Troubridge, Sir Edw. Thomas
Tufnell, Henry
Van'e, Lord Harry
2IOVilliers, Hon. Charles
Vivian, John Henry (Swansea)
Wakley, Thomas
Walker, Richard
WaIjM)Ie, Sjiencer Horatio
215Warburton, Henry
Ward, Henry George
Wawn,tJohn Twizell
Wellesley, Lord Charles
White, Strmuel (Leitrim)
220Williams, William (Coventry]
Wilshcre, William
Wood, Charles (Halifax)
Wood, Colonel T. (Middlesex)
Worsley, Lonl
225Wortley, Hn. Jas. Stuart
W)iin, Rt.Hn. CW.W. (Mong.)
Yorke, Henrv Redhead (York)
Tellers for the Noes, Mr. Young and Mr. Henry Baling
