Hobtrt, Sir Robert
Hobboiue, Charles E. H.
Hodge,* John
Holder), E. Hopkinson
155Booper, A. G.
Hope,W.Batenwn.(Some-r8et,N*.
Horniman, Emslie John
Horridge, Thomas'.Gardner
Howard, Hon Geoffrey
lWHudson, AValter
Hutton, Alfred Eddison
Hyde, Clarendon
lllingworth, Percy H.
Isaacs,-Ruf us Daniel
lftJackson, R. S.
Jacohy, James Alfretl
Janditi«*, Sir J.
Jenkins, J.
Johnson, John (Gateshead)
l'OJoJtnson, AV. (Nuneaton)
Joni*s,Davi(lBryninor(»Swnnsca
Jones, Lcif (Appleby)
Jones,AA'illiam (Carnarvonshire
Joi^tt, F. AV.
D7&Krarley, Hudson E.
Ki-ketvieh, Sir George
Kinciiitl-Smith, Captain
King, Alfred John (Knutsford)
Kitsmi, Sir James
DSObidlaw. Robert.
Lanili, Kdiniiinl G. (Leominster
Lutili, Kniest H. (Rochester)
Lamlicrt, George
La-XSOIi, Sir AVilfrid
SaUylñtiil-Barratt, Francis
Le-I, Hugh Cecil (St. Paneras, E.
Léese ,Sir Joseph F.( Acerington
Leumann, R. C.
Lever, A.ljcvy (Esscx.Harwich
WLcver, AV. H. (Cheshire, Wirral)
Levy, Maurice
Lewis, John Herbert
Lloyd-George, Rt. Hon. David
Lough, Thomas
95Lupton, Arnold
Luttrcll, Hugh Fownes
Lyell, Chnrles Henry
Lynch, H. B.
Mactloiiiild, J. R. (Leicester)
OOM¡ic.lonahl,J.M.(FalkirkB'gh.i
Mai'karnessu Frederic C.
Maclean, Donald
Miicnamnra, Dr. Thomas J.
M'Artlmr, AVilliam
OiM'Ciilluin, John M.
M'C'rac, George
M'Kciiiia, Reginald
M'Urwi, II*. D. (Stafford, W.)
MMieking, Major G.
lOMaihlison, Frederick
Mallit, Charles E.
Manticlli, IUrry (Xorthants)
Mansfield,H. Rendali (Lincoln)
28Oi May, 1906.
Marks,G.Croydon(Launce8ton)
215Marnham, F. J.
Mason, A. E.. W. (Coventry)
Massie, J.
"Menzies, AValter
Micklem, Nathaniel
220Molteno, Percy Aljiort
Money, L. G. Chiozza
Montagu, E. S.
Montgomery, H. H.
Morgan, G. Hay (Cornwall)
225Morgan,J.Lloyd (Carmarthen)
Morlev,.Rt. Hon. John
Morre'll, Philip
Morse, L. L.
Murray, James
2-IOMyer, Horatio
Napier, T. B.
Newnes, F. (Notts, Rassetlaw)
Newnes, Sir George (Swansea)
Nicholls, George
2.*15Xièbolsoii,CharlesN.(Dt)ncast'r
Norman, Henry
Norton, Capt. CeciLAVilliam
Nussey, Thomas AA" il Inns
Nuttnll, Harry
2100'Donnell, C. J. (AValxvorth)
Paul, Herbert
Paultoti, James Mcllor
IVano, Roltert (Staffs. Ijcck)
Pearce, AA'illiam (Liiuehoiise)
245Penrst)ii,Sir AV. I). (Cf)lcliester)
Perks, Roliert AVilliam
Pliilipps,J. AVy nfonl(Pcmhroke
Pliilipps, Owen C. (Pembroke)
Pickersgill, Kdward Hare
250.Pirie, Duncan V.
Pollard, Dr.
Price, C. E. (Edinb'glr.Ccntral)
I 'rice,Robert Johu (Norfolk.E.)
Prie.stley,AV.E.B.(Bradfonl,E.)
255Radford, G. H.
Rainy, A. Rolland
Raphael, Herbert II.
Rea, Russell (Gloucester)
Rea, AA'alter Russell (Scarboro'
260Rces, J. D.
Rendali, Athclstaii
Ronton, Major Leslie
Richards, Thomas (AV. Monm'th
Richards, T. F. (AVolverh'inpt'n
2G5Ricbardson, A.
Rickett, J. Compton
Ridsdale, E. A.
Roberts, Charles H. (Lincoln)
Roberts, G. H. (fiorwich)   **"
270Roberts, John H. (Denbighs.)
Robertson.Rt. Hn. E. (Dundee)
Robertson,SirG.Scott(Bradfrd
Robertson, J. M. (Tyneside)
Robinson, S.
275Robsoii, Sir AVilliam Snowdon
Roe, Sir Thomas
4 O
307
Rogers, F. E. Newman
Rose, Charles Day
Rowlands, J.
2S0Rnncjmnn, Walter
Russell, T. W.
Rutherford, V. H. (Brentford)
Samuel, Herbert L. (Cleveland)
Samuel, S. M. (AVhitechapel)
2S.jScl-.wann <http://2S.jScl-.wann>, C. Duncan (Hyde)
Sch wnnn.Chns. E.(Manchester)
Sc'ott,A.H.(Ashton under Lyne
Soars, J. E.
Seaverns, J. H.
2'.)uShacklcton, David James
Shaw, Charles BiIw. (Stofford)
Shnw, Rt. Hon. T. (Hawick B.)
Shipman, Dr. John, G.
Silcock, Tliomas Ball
20*)Simon, John Allsebrook
Sinclair, Rt. Hon. John
»Stncnton, Donaltl Mackenzie
Sitowtj/>n, P.
Sonnies, Arthur AVcllcsley
3()0Spicer, Albert
Stnnger, H. Y.
Stanley, Hn. A. Lytdph(CheshA
Steadmaii, W. C.
Stewart, I !alley (Greenock)
:J05StewàrwSmith, D. (Kendal)
Strachey, "Sir. Ktlxvnnl
Straus, IL S. (Mile End)
Strauss, K. A. (Abingdon)
Stuart, James (Sunderland)
ßlOSummcrhcll, T.
Sutherland, J. K.
Taylor, Austin (East Toxtoth)
Taylor, John AV. (Durham)
Taylor, Theodore C. (Radcliffe)
315'iYnnant, E. P. (Salisbury)
Teiinaitt, H. J. (Berwickshire])
Thomas, Abel (Carmarthen, E.j
Thomns.Sir A. (Glamorgan, E.)
Thomas, David Alf red(Morthyr
320Tliomasson, Franklin
Thompson,.!.AV.H.(Someraet,E
.Thorne, AVilliam
Tomkinson, James
Torrance, A. M.
325Toulmin, George
Trevelyan, Charles Philips
Verney, F. W.
Villiers, Ernest Amherst
Vivian, Henry
330Walker, H. De R. (Leicester)
Wallace, Robert
Walsh, Stephen
AValters, John Tudor
Walton, Sir John L. (Ueds, S.)
335Walton, Joseph (Barnsley)
Ward, John (Stoke upon Trent
Ward ,W. Dudley (Southampton
AVardle, George J.
Wason, Eugene (Clackmannan)
