1086
"Davies, Timothy (Fnlham)
Davies W. Howell (Bristol, S.)
Delany, "WìIImbo
Dewnr. Arthnr (Edinburgh, S.)
«Dickinson. W.H.iStJ'ancraa.N.
Dilke, Rt.- Hon. Sir Cliarles
Dodd, W-. H.
Donelan, Captain A.
Duckworth, James
7(.Duncan. (,'.( Barrow-in-Furness
Dunn, A. Edward (Cnmliorno)
Edwards, Clement (Denbigh)
Edwards, Enoch (Hanley)
Edwards, Frank (Radnor)
75EHhnnk, Master of
Krskine, David C.
Evans, Samuel T.
Everett, R. lAcey
Fnber. G. H. (Boston)
SOFenwirk, Charles
Ferons, T. R.
Ferguson, R. C. Miinro
FIynn, James Clirístopher
Fowler, Kt. Hon. Sir Henry
85 Freeman-Thomas, Freeman
Fuller, John Michael F.
Fullurton, Hugh
Gibi), James (Harrow)
Gill, A. II.
90Ginnell, L.
Gladstone, Rt. H n. 11 criteri John
Glendiiining, R. G.
Glover, TIioiimis
Goddard, Daniel Ford
l).r>Grant, Corrie
Greenwood, (J. (Peterborough)
Greenwood, Hamnr (York)
Grey, Rt. Hon. Sir Edward
Guest, Hon. Ivor Churchill
moGullnnd; John W.
Gurdon, Sir Vf. Brampton
Hall, Frederick
Harcourt, Rt. Hon. Iiewis
Hardy, George A. (Suffolk)
105Harmsworth, Cecil B. (Worc'r)
Harrington, Timothy
Harwood, Georgo
Haslnm, James (Derbyshire)
Haslam, licwi.i (Monmouth)
llÖHazel, Dr. A. E.
Hedges, A. Paget
Helme, Norval Watson
Henderson, Arthur (Durham)
Hcnderson,J.M.(Aberdeen,W.)
115Henry, Charles S.
Herbert.Colonel Ivor (Mon.,S.)
Heritert, T. Arnold (Wycombe)
Higham, John Sharp
Hobart, Sii· Robert
120Hodge, John
Hogan, Michael
Hooper, A. G.
Hope, W. Bateman(Somersct,X.
2nd November, 190&
Horniroan, Eraslie John
125Howard, Hon. Geoffrey
Hndson, Walter
Hntton, Alfred Eddison
Hydft, Glaréndon
ldris, T. H. W.
130Tsuuc~h, Ruf us Daniel
Jackson, R. S.
Jacoby, James Alfred
Jenkins, Jl
Johnson, W. (Nuneaton)
135Joncs, Sir I). Brynmor(Swaneejf
Jones, Leif (Appleby)
Jones, William (Carnarvonshire
Jowett, F. W.
Kenrlcy, Hudson E.
140Kckcwich, Sir George
Kelley, George D.
Kennedy, Vincent Paul
King, Alfred John (Knuteford)
liait I law, Roltert
145Lamb, Edmund G. (l<eominster
Lami), Ernest H. (Rochester)
I^unbcrt, Georgo
Lamont, Norman
Law, Hugh A. (Donegal, W.)
150Layland-liarratt, Francis
Ijci'so.Sir Joseph F.(Accriugton
Lehmann, R. C.
Levy, Maurice
li«wis, John Herbert
155LIoViNGeOrCX'. Rt. Hon. David
Lough, Thomas
Lundon, W.
Macinimi.!,J.M.(Falkirk Bghs
Miicnuinum, Dr. Thomas J.
ICOMacpherson, J. T.
AIacVeagh, Jeremiah (Down,S.
MacVeigb,('harlcs(Donegal,E.)
M'Culrum, John M.
M'Crae, George
165M'Micking, Alnjor G.
Maddison, Frederick
Mallet, Charles E.
Manficld, Harry (Northante)
Marnham, F. J.
170Mcaghcr, AIichaol
Mechan, Patrick A.
Men/.ies, Walter
Molteno, Percy Alport
Money, L. (L Chiozza
175Montagu, E. S.
Montgomery,- H. (L
Mooney, J. J.
Murnaghan, George
Murphy, John
180Mtirray, James
Myer, Horatio
Nannctti, Joseph P.
Napier, T. B.
Newncs, F. (Notts, Bassatlaw)
185Nicholls, George
Nie holson ,Char IcsN. ( Doncast'r
Norton, Capt. Cecil WflW
Suasey, Thomas Wühai
0* Brien.KendaWTippîrtrl
Î90O'Brien, Patrick (kflk«£
0'Connor,JamiM (WiekWl
O'Grady, J.
O'Kelly, Conor (Mayo, S ?
O'Malley, William
1950'Shauglmessy, P. J.
Parker, James (Htilifati
Partington, Oswalt!
Paul, Herliert
Pearcc, Roliert (Stalk U1
200Pcarcc, William ? Linvh/ra
Pickersgill, Edivnr-I Hw
Pollard, Dr.
Powell, Sir Francis Sharp
Price, CE. (Eilinh'gl..í.Ví·.
205PriestIey,W.E.R.(Hni.liorü
Rainy, A. Rolland
Raphael, Hcrht-rt II.
Rea, Russell (Gloucester)
Rea, Walter Russell (Scuro
210Redmond,.lolin E.(W.iter!z
Redmond, William (Clare)
Rees, J.I).
Richards, Thomas ( W. M>aa
Richards, T. F. (W.tlv.-rhiiB
2LriRicharilson. A.
Rickett, J. Coin ? >ton
Ridsdale, E. A.
Roberts, Charles IL (Linci
Roberts, G. II. (Norwichi
22ORoIHSrUoIi1Rt. Hn. E. : Duri
Robertion, J. M. (Tym-skl
Robinson, S.
Rogers, F. E. Newman
Rose, Charles Day
225Rowlands, J.
Rtinciman, Walter
Samuel, Herbert L.(Clew!i
Schwann, C. Duncan (Ibi
Schwanii,Sir('.E.lManch<*
230Scott, A .11 .(Ashtoii under".;
Sears, J. E.
Seely, Major J. B.
Shnckleton. David Jame
Shaw, Rt. lloi..T.(H¡urickl
235Shinman. Dr. John G.
Sinclair, Kt. Hon. John
Sloan, Thomns Henry
Smcaton, Donald Mackeafl
Smyth, Thomas F.(LeitnB.:
240Snowdcn, P.
Soames, Arthur Welleslej
Soares, Ernest J.
Spicer, Sir Albert
Stanger, H. Y.          ^
2453tanley, Hn. A. LyulpMC*
Steadman, W. C.
Stewart, Halley (Gre«««)
Strachoy, Sir Edjr»rd
Straus, B. S. (Mue Bed)
