264
19a die Junii, 1856.
Fagan, WUliam
Farrer, James
Feilden, Montague Joseph
Fergu8on,SirRob. (Londonderry
50Fitzgerald, John D. (Ennis)
Forster, John (Berwick)
Fortescue, Chichester Samuel
GaUwey, Sir WiUiam Payne
Gifford, Earl of
55Gladstone, Captain (Devizes)
Goddard, Ambrose Lethbridge
Goderich, Viscount
Gordon, Hon. Arthur
Gower, Hon. Frederick Leveson
GOGraham, Lord M.Wm.(Granth.)
Greene, John (Kilkenny Co.)
Greene, Thomas (Lancaster)
Gregson, Samuel
Grey, Rt. Hn. SirGeo.( Morpeth)
05Grey, Ralph William (Liskeard)
Guinness, Richard Samuel
Hadfield, George
HaIl1Rt. Hn.Sir BcnJ. (Maryleb.)
Hankey, Thomson
70Hastie, Alexander (Glasgow)
Hastie, Archibald (Paisley)
Headiam, Thomas Emerson
Heneage, G. H. Walker (Devi.)
Holland, Edward
75Horsman, Rt. Hon. Edward
H ughes, W. Bulkeley (Carnarvon
Hughes, Henry Geo.(Longford)
Ingham, Robert
Ingram, Herbert
80Johnstone, Sir John (Scarboro')
Kershaw, James
Kingscote, Rob. Nigel Fitzhard.
Kinnaird, Hn. ArthurFitzgerald
Kirk, WiUiam
85Labouchere, Rt. Hon. Henry
Langten, Henry Gore (Bristol)
Lewis, Rt. Hn. Sir G. Cornewall
Lindsay, Hon. Colonel (Wigan)
Lockhart, Allan Eliott (Selkirk)
90Lockhart, William (Lanarksh.)
Lovoine, Lord
Lowe, Rt Hn. Robert
Luce, Thomas
Maguire, John Francis
95Marshall, William
Massey, William Nathaniel
Milligan, Robert
Monck, Viscount
Moncreiff, James
lOOMonsell, Rt Hon. William
Montgomery, Sir Graham (P'bles
Morgan, Octavius
Mowatt, Francis
Naas, Lord
105Napier, Sir Charles (Southwark)
Neeld, John
Noel, Hon. Gerard James
North, Colonel (Oxfordshire)
Oakes, James Henry Porteus
1 lOO'Brien, James (Limerick)
O'Connell, Capt. Daniel (Tralee)
O'Connell, Captain (Clonmel)
Osborne, Ralph
Ossulston, Lord
115Paget, Lord Alfred (Lichfield)
Palmer, Roundell (Plymouth)
Palmerston, Viscount
Peel, Sir Robert (Tamworth)
Peel, Frederick (Bury)
120Perry, Sir Thomas Erskine
Philiimore, Rob. J. (Tavistock)
Pilkirigton, James
Portman, Hon. W. Hen. B.
Powlett, Lord WiUiam
125Price, Sir Robert (Herefordsh.)
Pritchard, John
Ricardo, Osman (Worcester)
Rice, Edward^·  ·
Richardson,   '^Jffg    Joseph
130Robartes, Thorn.     . < es Agar
RoIt, Peter
RusseU, Fr. C. Hastings (Bed·*
Sawle, C. Brune Graves
Seymer, Henry Ker (Dorset)
l35Seymour, Henry Danby (Poole)
Shafto, Robert Duncombe
Sibthorp, Major
Smith.Rt. Hn. R. Vernon ( N'ton)
Smollett, Alexander
140Stafford, Marq. of (Sutherlandsh)
Steel, John
Stewart,SirMich.R.S.(Renfrew)
Stuart, Captain (Bedford)
Talbot, Christopher Rice M.
145Tancred, Henry William
Taylor, Colonel
Thompson, George
Thornhill, WiUiam Pole
Vernon, LeicesterViney(Chatli.)
150Villiers, Rt Hn. C. Pelham
Vivian, Henry Hussey (Truro)
Walter, John
Wells, William
Whatman, James
155Whitbread, Samuel
Wickham, Henry Wickham
Wilkinson, William Arthur
WUson, James
Wood, Rl. Hn. SirChos. (Halifax)
160Wortley,Rt. Hn. Jos. Stuart
Tellers for the Noes, Mr. Hayter and the Earl of Mulgrave.
