no
2a die Moti, 1856.
Talbot, Christopher Rice M.
Taylor, Colonel
Thompson, George
Thornely, Thomas
155ToUemache, John
TroUope.Rt. Hon. Sir John
Tyler, Sir George
Tyreli, Sir John Tyesen
Vivian, Henry Hussey (Truro)
ieOWalcott, Admiral
Walsh, Sir John B.
Watkins, Colonel Lloyd
Watson, William Henry
. Whatman, James
iesWhitbread, Samuel
Wilkinson, WUliam Arthur
Wilson, James
Wiünington,SirThomas Edwi
Wood,Rt.Hn.SirChas.(Halin
170Woodd, BasUTbos. (Knareslx
Wrightson, WiUiam Battie
Wyndham,.Gen. (Cpckermoiit
Wyndham, Henry (Sussex ft
Wyndham, William (Wilts, S
TeUers for the AyeaSMr. Hayter and Viscount Monck.
Acland, Sh* Thomas Dyke
Adair, Colouel (Cambridge)
Adderley, Charles Bowyer
Anderson, .Sir James
fi Ball, Edward (Cambridgeshire)
Baring, Rt.iln.SirF.T.(Portem.)
Barnes, Thomas.
Harrington, Viscount
Bell, James
lOBeruard, Viscount
Blake, Martin J.
Blakemore, Thos. Wm. Booker
Boldero, Colonel
Bowyer, George
] ¿Ummley ¿Moore, John
Uramston, Thomas WiUiam
Brocklehurst, John
Brockman, Edward Drake
Buck, Colonel'( Barnstaple)
20Bulkeley, Sir R. B. WiUiams
Child, Smith
Christy, Samuel
Cobbctt, John Morgan
Crook. Joseph
25Crussley, Frank
Deedes, WUUam
Deuison, Edmund (York, W.R.)
Devereux, John Thomas
Dillwyn, Lewis Llewelyn
30Uiini:ni, George (Dundee)
Duncombe, Hn.Wm.E.(E.Ratf.)
East, Sir James Buller
Evelyn, WUliam John
Ewart, WilUam (Dumfries, &c.)
3;>Ewart, Joseph Christr. (Liverp.)
Feuwick, Henry
Ferguson, Joseph (Carlisle)
1'ilmer, Sir Edmund
Fitz<»< raid, Sir John (Clare Co.)
NOES.
40Forster, Charles (WaUaU)
Fox, WilUam Johnson
Freestun, Colonel
Galway, Viscount
Gibson, Rt. Hn. Thomas Milner
46Gilpin, Colonel
Greaves, Edward
GreenaU, GUbert
Greene, John (Kilkenny Co.)
Guernsey, Lord
60Gwyn, Howel
Hadfield, George
HamUtpn, Lord Claud (Tyrone)
Hanmer, Sir John
Hardy, Gathorne.
55 Henley, Rt. Hn. Joseph Warner
Hervey, Lord Alfred
Hildyard, Robert Charles
Hindley, Charles
Horsfall, Thomas Berry
eoHotham, Lord
Ingram, Herbert
Irton, Samuel
Jackson, WiUiam
Johnstone, Sir John (Scarboro')
65Kendall, Nicholas
Kershaw, James
Laslett, William
Leslie, Charles PoweU
Lindsay, Hon. Colonel (Wigan)
70Macartney, George
Maddock, Sir Herbert
Meux, Sir Henry
Milligan, Robert
MiUs, Thomas
75Michell, William (Bodmin)
Mitchell, Thos. Alex. (Bridport)
Mowatt, Francis
Muntz, George Frederick·
Murrough, John Patrick
SONapier, Sir Charles (Southwar
Northcote, Sir Stafford Hear/
OUveira, Benjamin
Palmer, Robert (Berkshire)
PecheU, Sir George Brooke
85Pennant, Hon. Colonel
.PhUipps, John Henry
Pilkingtori, James
Pritchard, John
Repten, George WUliam Johi
90Ricardo, Osiuan (Worcester)
Robertson, Patrick Francis
Rushout, George
Scobell, Captain
Scott, Hon. Francis
95Sheridan, Richard Brinsley
Smijth, Sir William (Essex)
SmithjohnBenjamirif Stock]»
Smith, WiUiam Master, (KeU
Smyth, Colonel (York City)
lOOSomervUle, Rt. Hn.SirW.Men <http://Hn.SirW.Men>
Stanhope, James Banks
Stuart, Captain (Bedford)
Tancred, Henry William
Tite, William *
lOöVance, John
Vansittart, George Heury
Vernon,LeicesterViney(Cha4
Vyse, Colodèl
Walmsley, Sir Joshua
UOWeUs, WiUiam
Whitmore, Henry
Wickham, Henry Wickham
WUlcox, Brodie M'Ghie
WilUams, WUliam (Lambeth]
115Willoughby, Sir Henry
Wise, John Ayshford
Tellers for the Noes, Lord Henry Lennox and Mr. Arthur Duncombe.
