240
13* die Junii, 1856.
Arbuthnott, Hon. General
Archdall, Captain Mervyn
Baillie, Henry J. (Inverness-sh.)
Bennet, Philip
6Bentinck,G.W. Pierrepont (Norf.
Bernard, Viscount
Blackburn, Peter
Blakemore, TJios. Wm. Booker
Booth, Sir Robert Gore
lOBrnmston, Thomas William
Burroughes, HenryN.(Norf. E.)
Burrowes, Robert (Cavan)
Butt, Isaac (Youghal)
Campbell, Sir Archibald Islay
15Carnnc, Sir John Rivett
Cecil, Lord Robert
Christy.rSnmuel
CHnton.LordC.Pelham (Sandw. ?
Clive. Hon. R. Winsor
20CoIe, Hon. Henry Arthur
Dalkeith, Earl of
Disraeli, Rt Hon. Benjamin
Dundas, George (Linlithgow)
Dunne, Colonel (Pórtarlington?
25Dii Pre, C. George
East, Sir James BuUer
Evelyn, William'John
Farnham, Edward Basil
Floyer, John
30Galwny,· Viscount
NOES.
George, John
Goddard, Ambrose Lethbridge
Graham.LordM. Wm. (Granth.)
Grogan, Edward
35Guinness, Richard Samuel
Gwyn, Howel
Hadfield, George
Hardy, Gathorne
Hayes, Sir Edmund
40Henley, Rt. Hn. Joseph Warner
Holford, Robert Stayner
Hume, W. Fitzwilliam
JoUiffe,SirWm.G.Hylton(Peters.
Jones, Admiral (Londonderry)
45Jones, David (Carmarthen Co.)
Kendall, Nicholas
King, James King (Herefordsh.)
Knatchbull, WUliam Francis
Knox, Colonel (Marlow)
50Lennox, Lord Alex. F. (Shoreh.)
Leslie, Charles Powell
Liddell, Hon. Henry George
Lockhart, Allan EUott (Selkirk)
Lovaine, Lord
55Macartney, George
MacGregor, James (Sandwich)
Malins, Richard
Micheli, WilUam (Bodmin)
Montgomery, Sir Graham (P'blcs
60Mowbray, John Robert
Naas, Lord
Napier,Rt.Hn. Joseph (Dublin U.
Newdegate, Charles Newdigatr
Noel, Hon. Gerard James
65Northcote, Sir Stafford Henry
Ossulston, Lord
Packe. Charles William
Portal, Melville
Robertson, Patrick Francis
70Seymer, Henry Ker (Dorset)
Sibthorp, Major
Smollett, Alexander
Spooner, Richard    ?
Stanhope, James Bonks
75Stracey, Sir Henry Josias
Stewart,SirMich.R.S. (Renfrew)
Stuart, Captain (Bedford)
Taylor, Colonel
Tempest, Lord Adolphus Vane
eOTollemache, John
Trollope, Rt Hon. Sir John
Tyler, Sir George
Walpole, Rt.Hn.Spencer Horatio
Warren, Samuel
85 Whiteside, James
Whitmore, Henry
Wigram, Loftus Tottenham
Woodd, Basil Thos. (Knaresbo.)
Wynn, Lieut. Colonel (Mont.)
90Wvnne, Rt Hn. John (Sligo)
Tellers for the Noes, Major Cumming Bruce and Mr. 'William Lockhart.
