348
14' die JuGi, 1856.
Acton, Joseph
Agnew, Sir Andrew
Alcock, Thomas
Antrobus, Edmund
5Baines, Rt.Hn.Matthew Talbot
Baldock, Edward Holmes
Boll, John (Carlow)
Bass, Michael Thomas
Beaumont, Wentworth Blackett
lOBell, James
Berkeley, Francis W. F. (Chelt.)
Biggs, William (Newport)
Blackburn, Peter
Blandford,* Marquis of
15Bonham-Carter, John
Bouverie, Rt. Hn. Edw. Pleydell
Bowyer, George
Brand, Hon. Henry
Brocklehurst, John
20Brotherton, Joseph
Bruce, Lord Ernest (Marlboro.)
Buckley, General
Costlerosse,. Viscount
Clay, Sir WilUam
25Cowper, Rt. Hn.WilUam Francis
Craiifurd.fEdword Henry John
Dashwood, Sir George H.
De Vere, Stephen Edward
Duncan, Viscount (Forfar)
SODuncan, George (Dundee)
Ewart, WilUam (Dumfries, &c.)
Ewart, Joseph Christr. (Liverp.)
Feilden, Major
Ferguson,Colonel( Kirkaldy,&c.)
NOES.
SfiFerguaon, Joseph (Carlisle)
Fitzgereld,Rt.HnJohnD.(Ennis
FitzRoy, Rt. Hon. Henry
Forster, Charles (Walsall)
Fortescue, Chichester Samuel
40Goderich, Viscount
Gregson, Samuel
Grey,Rt.Hn.Sir Geo. (Morpeth)
Grey, Ralph William (Liskeard)
Hadfield, George
46Hall,Rt.Hn. Sir Benj. (Maryleb.)
Hankey, Thomson
Headiam, Thomas Emerson
Hindley, Charles
Horsman, Rt. Hon. Edward
ÛOHoward.Hn. Chas.W.G.(Cumb.)
Ingham, Robert
Ingram, Herbert
Johnstone, Jas. (Clackmannan)
JolUffe,HedworthHylton(Wells)
55Kingscote, Rob. Nigel Fitzhard.
Labouchere, Rt. Hon. Henry
Langten, Henry Gore (Bristol)
Lewis, Rt. Hn. Sir G. Cornewall
Lindsay ,Wm. Schaw(Tynem'th)
60Littleton, Hn. Edward Richard
Lowe, Rt. Hn. Robert
Luce, Thomas
Malins, Richard
Massey, WiUiam Nathaniel
65Matheson, Sir James (Ross)
Milligan, Robert
Monck, Viscount,
Moncreiff, Rt. Hon. James
Murrough, John Patrick
700'Brien, Patrick (King's Co.)
O'Connell, Capt. Daniel (Trek*)
Osborne, Ralph
Paget, Lord Alfred (Lichfield),
Paget, Lord George (Beaumaris)
75Palmerston, Viscount
PecheU, Sir George Brooke
Peel. Sir Robert (Tamworth)
Peel, Frederick (Bury)
Pellatt, Apsley
SOPerry, 8ir Thomas∑ Erskine
Pinney, Colonel
Ponsonby, Hn. Ashley G. John
Price, Sir Robert (Hereford.)
Pritchard, John
HÙRicordo, Samson (NewWihdsor)
Ridley, George
Sawle, C. Brune Graves
Seymour, Henry Danby (Pooh)
Seymour, Wm. Digby (HuU)
90Shelley, Sir John VUUers
Sheridan, Richard Brinsley
SomervUle, Rt.Hn.SirW.Mered,
Tancred, Henry WUUam
lite, WiUiam
95ToUemache, John
VUUers, Rt. Hn. C. Pelham
WUkinson, WUliam Arthur
WUlcox, Brodie M'Ghie
Williams, William (Lambeth)
100Wilson, James
Wood,Rt.Hn.SirChas.( Halifax)
Wyndham, William (Wilts S.)
Tellers for the Noes, Mr. Hayter and the Earl of Mulgrave.
