216
Lee, WUUam (Maidstone)
Lemon, Sir Charles
Lewis, Rt. Hn. Sir G. CornewaU
LiddeU, Hon. Henry George
95Lowe, Rt. Hon. Robert
Luce, Thomas
MacEvoy, Edward
M'Cann, James
M-Taggart, Sir John
lOOMartin, John (Tewkesbury)
Mnrtin,Phil.Wykeham(Rochest.
Meagher, Thomas
Miall, Edward
Millikan, Robert
105Milner,SirWm.MordauntEdw.
Mitchell, Thos. Alex. (Bridport)
Monck, Viscount
Moncreiff, James
Morris, David
lloMulgrave, Earlof
Murrough, John Patrick
Norreys, Sir Denham Jephson
North, Frederick (Hastings)
9* die Junii, 1856.
O'Brien, Patrick (King's Co.)
1150'Brien, Sir Timothy (Cashel)
O'Brien, James (Limerick)
Osborne, Ralph
Palmerston, Viscount
Paxton, Sir Joseph
l20Peacocke, Geo. Montagu Warren
PecheU, Sir George Brooke
Peel, Frederick (Bury)
Pellatt, Apsley
Perry, Sir Thomas Erskine
125Phillimorc,John George ( Lcom. )
Pilkington, James
Ramsden, Sir John William
Raynham, Viscount
Ricardo, Samson (NewWindsor)
ISORice, Edward Royd
Ridley, George
Roebuck, John Arthur
RusseU, Lord John (London)
Russell, Fr. C. Hastings (Beds)
135Scholefield, William
Scobell. Captain
Tellers for the Ayes, Mr. Milner Gibson and Mr. Hayter.
Aclaiul, Sir Thomas Dyke
Adderley, Charles Bowyer
Arbuthnott, Hon. General
Bnillie, Henry J. (Inverness-sh.)
ôBaldock, Edward Holmes
Barrow WilUam Hodgson
Bentinck.G.W.Pierrepont (Norf.
Beresford, Rt. Hn. William
Bernard, Viscount
lOBlakemore, Thos. Wm. Booker
Blandford, Marquis of
Booth. Sir Robert Gore
Bruce, Major Cumming (Elgin)
. BurreU, Sir Charles M.
15 Butt, Geo. Medd (Weymouth)
CampbeU, Sir Archibald Islay
Cecil, Lord Robert
Child, Smith
Cholmondeley, Lord Henrv
iOGlive, Hon. R. Windsor
Cobbold, John ChevaUier
Cole, Hon. Henry Arthur
Compton, Henrj' Combe
Corrolly, Thoma.»
.j5Corry,Rt. Hon. Henry Lowry
Davies.Dav.A.Saunders (Carm.)
Davison, Richard
Dod, John Whitehall
Duckworth, Sir John T. B.
30 Dùncombe.Hn. Col. ( York,N.R. )
Duncombe, Hn. Wm.E.(E.Retf.)
Kgcrton, Edw. C. (Macclesfield)
Klmley, Viscount
Farnham, Edward Basil
35 Ferguson, Joseph (Carlisle)
Floyer, John
Forester, Rt. Hon. Colonel
NOES.
Frewen, Charles Hay
Gallwey, Sir William Payne
40Guinness, Richard Samuel
Gwyn, Howel
Haddo, Lord
Hamilton, Geo. A. (Dublin Un.)
Hamilton,Rt.Hn.R.C.N.(Linc's)
4 5Hanbury,HnC.SpencerBateman
Handcock, Hon. Captain Henry
Hardy, Gathorne
Hayes, Sir Edmund
Heathcote. SirWm. (Oxf.Univ.)
50Heneage. G. H. Walker (Devi.)
Herbert, Sir Thos. (Dartmouth)
Hildyard, Robert Charles
Hotham, Lord
Jolliffe,SirWm.G.Hylton(Peters.
55Jones, Admiral (Londonderry)
Jones, David (Carmarthen Co.)
Kendall, Nicholas
Kerrison, Sir Edward' Clarence
King, James King(Herefordsh. )
60Knightley, Rainald
Langton.W.Gore (Somerset.W.)
Lennox, Lord Alex. F. (Shoreh)
Lisburnë, Earl of
Mackie, John
65MacGregor, James (Sandwich)
Malms, Richard
Mowbray, John Robert
Mullings, Joseph Randolph
Neeld, John
70Newdegate, Charles Newdigate
Nlsbet, Robert Parry
Noel. Hon. Gerard James
Northcote, Sir Stafford Henry
Oakes, James Henry Porteus
Seymour, Henry Danby (Poole)
Shafto, Robert Duncombe
Smith, John Abel (Chichester)
UOSmith, John Benjamin ( Stockport
Smith, Rt.Hn. R.Vernon(N'ton)
SomerviUe, Rt. Hn.SirW.Mered.
Strickland, Sir George
Strutt. Rt. Hon. Edward
145Tancred, Henry WUUam
Thompson, George
Thornely, Thomas
Villiers, Rt. Hn. C. Pelham
Vivian, Henry Hussey (Truro)
150Walmsley, Sir Joshua
Walter,  John
Watson, WilUam Henry
Wickham, Henry Wickham
Wilkinson, WUliam Arthur
155Willcox, Brodie M'Ghie
Williams·, William (Lambeth)
Wilson, James
Wood, Rt. Hn.SirChas.( Halifax,
Wortley, Rt. Hon. Ja«. Stuart
75Pnkenhnm, Thomas Henry
Pakington, Rt. Hon. Sir John
Percy, Hon. Joceline William
Portal, Melville
Pritchard, John
RORcpton, George William John
Robertson, Patrick Francis
RoIt. Peter
Rust, James
Sawle, C. Brune Graves
85Seymer, Henry Ker (Dorset)
Sibthorp, Major
Smijth, Sir WiUiam (Essex)
Smith, WUUam Masters (Kent)
Smith, Abel (Herts)
90SmoUett, Alexander
Spooner, Richard
Stafford,Augustus (North'tonN)
Stanhope, James Banks
Stracey, Sir Henry Josias
95Stuart, Captain (Bedford)
Taylor, Colonel
Tyler, Sir George
Vance. John
Vernon, Leicester Viney(Chatb.)
lOOWaddington, Harry S. (Suffolk)
Walcott, Admiral
Walpole.Rt.Hn.SpencerHoratio
Walsh, Sir John B.
Welby, SirGlynne Earle
105Whiteside, James
Whitmore, Henry
Wigram, Loftus Tottenham
WUliame, Thos. Peers (Marlow)
Woodd, Basil Thos. (Knaresbo.)
HOWynn, Lieut. Colonel (Mont.)
Tellers for the Noes, Sir Frederic Theriger and Mr. Warren.
