2X
28' die Februarii, 1856.
Keating, Hen. Singer (Reading)
Kershaw, James
Langten, Henry Gore (Bristol)
Lennox, Lord HenryG. (Chich.)
G 5 Lewis, Rt. Hn. Sir G. Cornewall
Luce, Thomas
Mackie, John
M'Canh, James
M'Taggart, Sir John
?0 Martin.Phil.Wykeham ( Röchest
Massey, William Nathaniel
Milligan, Robert
.Monck, Viscount
Moliseli, William
75Mowbray, John Robert
Napier, Sir Charles(Southwark)
North, Frederick (Hastings)
Northcote, Sir Stafford Henry
O'Brien, Patrick (King's Co.)
800'ConnèU, Captain (Clonmel)
Otway, Arthur John
Palmerston, Viscount
Peel, Frederick (Bury)
Pellatt, Apsley
85Percy, Hon. Joceline William
PhiUimore, JohnGeorge(Leom.)
Philiimore, Rob. J. (Tavistock)
Pigott, Francis
Piikington, James
90Pollard-Urquhart, W.
Price, William Philip (Glo'ster)
Pritchard, John
Reed, Joseph Haythorne
Rice, Edward Royd
95Ridley, George
Robarles, Thomas James Agar
Rushout, George
Scobell, Captain
Seymer, Henry Ker (Dorset)
lOOSmith, Rt.Hn. R. Vernon (N'ton)
Smith, Abel (Herts)
Smollett, Alexander
Strutt.Rt. Hon. Edward
Tancred, Henry WiUiam
1 OôThesiger, Sir Frederic
Thornely, Thomas
ViUien, Rt .Hn. C. Pelham
Walpole,Rt.Hn.SpencerHoratio
Walter,  John
HOWells, William
Wilkinson, William Arthur
Williams, William (Lambeth)
Wilson, James
Winnington,Sir ThomasEdward
115Wood,Rt.Hn.SirChas. (Halifax)
Tellers for the Noes, Mr. Hayter and the Earl of Mulgrave.
