70
8* die Aprili s, 1856.
Lowe, Rt. Hn. Robert
Luce, Thomas
Martin,PhU.Wykeham(Rochest.
Massey,. William Nathaniel
«',Milligan, Robert
Moffatt, George
Monck, Viscount
Moncreiff, James
Monsell, Kt. Hn. William
/OMurrough, John Patrick
Napier, Sir Charles ( Southwark )
O'Brien, James (Limerick)
Osborne, Ralph
Palmerston, Viscount
75Pntten, Colonel Wilson
Peel, Sir Robert (Tomworth)
Peel, Frederick (Bury)
Perry, Sir Thomas Erskine
Philiimore ,John George (Leom.)
SOPhillimore, Rob. J. (Tavistock)
Pigott, Francis
Pinney, Colonel
Pollard-l rquhart, W.
Ponsonby, Hn. Ashley G. John
HSPower, Nicholas
Ricanto, Osm.in (Worcester)
Ricardo, Samson (NewWinder)
Rice, Edward Royd
Richardson, Jonathan Joseph
90Russell, Fr. ? . Hastings (Beds)
Seymour Henry Danby (Poole)
Smith, M. Tucker (Wycombe-)
Smith, Rt. Hn. R. Vernon ( N'ton,
Stafford.Marq. of (Sutherland».)
95Steel, John
Stuart,Captain (Bedford)
Sullivan, Michael
Tancred, Henry William
Thompson, George
lOOThornely, Thomas
Vernon.Granville E. H.( Newark
Whatman, James
Whitbread, Samuel
Wilkinson, WilUam Arthu·
lOSWillcox, Brodie M'Ghie
Williams, William (Lambeth)
Wilson, James
Wise, John Ayshford .
Tellers for the Noes, Mr. Hoyter and the Earl of Mulgrave.
