102
Hankey, Thomson
Hnnmer, Sir John
Harcourt, Col. (Isle of Wight)
Hardy, Gathórne
95Hastíe, Archibald (Paisley)
Hayes, Sir Edmund
Heard, John Isaac.
Heathcote.Hn.Gilb.Hen ,(Rutl'd
Henèage,Geo.Fieschi (Lincoln)
lOOHenley, Rt. Hn. Joseph Warner
Hervey, Lord Alfred  .
Hill, Lord Arthur Edwin
Holford, Robert Stayner
Horsfall, Thomas Berry
lOoHorsman, Rt. Hon. Edward
Hutt, WiUiam
Ingham,. Robert
Ingram, Herbert
Jermyn, Earl
110Johnstone, Jas. (Clackmannan)
Johnstone. Sir John (Scarboro')
Jolliffe,SirWm.G.Hylton(Peters.
Jones, Admiral (Londonderry)
KendaU, Nicholas
115 Kennedy» Tristram
Ker; David Stewart
Kerrison, Sir Edward Clarence
Kingscote, Rob. Nigel Fitzhard.
Kirk, William
120Knight, Frederick Winn
Knightley, Rainald
Knox, Colonel (Marlow)
Labouchere, Rt. Hon. Henry
Langston, James Haughtbn
125Laslett, William
Lennox, Lord Alex. F. (Shoreh.
Lennox. Lord Henry G. (Chich.)
Lewis. Rt. Hn. Sir G, Cornewall
Liddell, Hon. Henry George
130Lockbart, William ( Lanarksh. )
Lovaine, Lord
. Lowe, Rt. Hon. Robert
18· die Aprilis, 1856
M'Cann, James.
MacGrcgor, James (Sandwich)
135Maguire, John Francis
Manners,LórdJohn(Colchester)
Martin,Phil.Wykeham(Rochest.
Matheson, Sir James (Ross)
Maxwell, Hon. James Pierce
MOMilner, Sir Wm, MordauntEdw.
Mitchell, Thos. Alex. (Bridport)
Moffatt, George
Monck, Viscount
Monsell, Rt. Hn. William
I45Montgomery, Hugh L. (Leitrim)
Morgan, Octavius
Morris, David
Mowbray, John Robert
Mulgrave, Earl of.
150Mundy, William
Naas, Lord
Newark, Viscount
Newdegate, Charles Newdigate
Noel, Hon. Gerard James
155,Norreys, Sir Dcnhiim Jephson
North, Frederick (Hastings)
Northcote, Sir Stafford Henry
O'Brien, Patrick (King's Co.)
O'Brien, James (Limerick)
1 OOOliveira, Benjamin
Osborne, Ralph
Palmer, Robert (Berkshire)
Patten, Colonel Wilson
Peel. Sir Robert (Tamworth)
165Peel, Frederick (Bury)
Percys Hon. Joccline William
Philiimore, Rob. J. (Tavistock)
Pollard-Urquhart, W.
Ponsonby, Hn. Ashley G. John
170Pritchard,John
Ranisden^Sir-John William
Repton, George William John
Ricardo, Samson (NewWindsor)
Ridley, George
175Robertson, Patrick Francis
RoIt1 Peter
Russell, Fr. C. Hastings (Beds)
Russell, Francis W. (Limerick)
. Rust, James
ìeÓSawle, C. Brune Graves
Seymour, Henry Danby(Poole)1
Shafto, Robert Duncombe
Shec, William
Shirley, Evelyn Philip
185Sibthorp, Major
Smith, Rt.Hn.R. Vernon (N'ton)
Smith, Abel (Herts)
Spooner, Richard
StaffordfAu°;ustus (North'tonN.
190Stanhope, James Banks
Starine, Le Gendre Nicholas.
Steel, John
Stracey,-Sir Henry Josias
Strutt, Rt. Hon. Edward
lOóStuart, Captain (Bedford)
Tancred, Henry WiUiam
Tottenham, Charles
Tyler, Sir George
Vance, John
200Vansittart, George Henry
Vernon,GranviUeE. H.(Newark)
Villiers, Rt. Hn. C. Pelham
Walpole, Rt. Hn'.Spencer Horatio
Warren, Samuel
205Waterpark, Lord
Watson, William Henry
Whatman, James
Whitbrehd, Samuel
Whiteside, Jatneá
210Wilson, James
Winnington, Sir ThomasEdward
Wood.Rt.Hn.SirChas. (HaUfax)
Woodd, Basil Thos.( Knaresbo.)
Wynne, Rt. Hn. John (SUgo)
Tellers for the Noes, Mr. Hayter and Mj. Grenvilje Berkeley.
