342
10* die Juin, 1856.
NOES.
Acten, Joseph
Agnew, Sir Andrew
Alcock, Thomas
Anderson. Sir James
5Antr.obus, EiJmUnd
Bailey, Crawshay (Monmouth)
Bailey, Henry J. (Inverness-sh)
. Baidock, Edward Hohnes
Baring, Rt,Hn.SirF.T.(Portsm.)
10 Barnes, Thomas -
Bass, Michael Thomas
Baxter, WilUam Edward
?- Beaumont, Wcntworth Blockett
Bell, James
1 SBerkeley; Hn. Henry F. (Bristol)
Biggs, William (Newport)
Black, jAdaro
Blackburn, Peter
Boldelp, Colonel
sOBo-aham-Carter, John
Bowyer," George ??'
Bramston, Thomas William
Brocklehurst, John
Brptlfl-rtorï, Joseph
2 »Brown, William (Lanças.)
Bruce, Hen.Austin (Me'rthyrT.)
Byng, H'ii. Geo. Henry Charles
Cairns/Hugh M'Calmont
Campbell, Sii1 Archibald Islay
3uCardwe.ll <http://3uCardwe.ll>, Rt. Hn. Edward
Cavendish, Hn. Geo. (Derbysh.)
Child, Smith  ·
Clay, Sir William.
CSbbett, John. Morgan
3.">Colvile, Charles Robert
Cowan, Charles
?Dashwood, Sir George"H.
Denison, Edmund (York, W. Bv)
De Vere,-Stephen Edward
40DUlwyn, Lewis Llewelyn
Duke, Sir James
Duncan, George (Dundee)
Duncombe, Hn. CoL(York,N.R.)
Dundas, George (Linlithgow)
45Dundas, Frederick (Orkney)
Dunlop, Alexander Murray
Egerton, Wm.Tatt.(CheshireN.)
Evelyn, William John
Ewart, William (Dumfries,*&c.)
50Ewart, Joseph Christr. (Liverp.)
Ferguson, Col. (Kirkaldy, &c.)
Ferguson, Joseph (Carlisle)
FitzGerald, Sir John (Clare Co.)
Forster, Charles (Walsall)
55Forster, John (Berwick)
Fox, WUUam Johnson
Gibson, Rt. Hn. Thomas Milner
Gladstone, Rt.Hn.Wm.(Oxf.U.)
Glyn, George Carr
epGoderich, Viscount
Gordon, Hon. Arthur
Graham,Rt.Hh.SirJas. (Carlisle)
Greenall, Gilbert
Greene, John (Kilkenny Co.)
65Grosvenor, Lord Robert (Midd'x)
Hadfield, George
Hankey, Thomson
Harcourt, G. Granville (Oxford)
Hastie, Alexander.(Glasgow)
70Hastie, Archibald (Paisley)
Headiam, Thomas Emerson
Heathcote, SirWm. (Oxf.Univ.)
-Henley, Rt. Hn,Joseph Warner
Hothain, Lord
75Howard,Hn.Chas.W.G. (Cumb.)
Hütt, William
Ingham. Robert
Ingrain, Herbert
Johnstone, Sir John· (Scarboro')
eoKcndall, Nicholas
Kennedy, Tristram
King, Hn. P. Jn. Locke (Surrey)
Kinnaird, Hn. ArthurFitzgerald
Lacon, Sir Edmund
?BäLangston, James Houghton
Langten, Henry Gore (Bristol)
Lascelles, Hon. Edwin
Layard, Austen Henry
Lennox1, Lord Henry G. (Chich.)
90Lindsay,Wm. Schaw(Tynem'th)
Locke, Joseph
MacEvoy, Edward
MacGregor, Jumes (Sandwich)
M'Gregor, John (Glasgow)
95M'Taggart, Sir John
Maguire, John Francis
Mangles,' Ross Donnelly
Mastermari, John
Meagher, Thomas
10'OMiall, Edward
Milligan, Robert
Milnes, Richard Monckton
Mitchell, Thos. Alex. (Bridport)
Moffatt, George.
lOöMorris, David
Murrough, John Patrick
North, Frederick (Hastings)
Northcote, Sir Stafford Henr
O'Brien, Patrick (King's ' 4
1 lOPalk, Lawrence
Parker, Robert Townley.
Pechell, Sir George; Brooke
Pellatt, Apsley
Perry, Sir Thomas Erskine
115Phillimore,John George (Leoni.)
PhUIimore, Rob. J. (Tavistock)
Pilkington, James
Portrnan, Hon. W. Hen. B.
Price, William Philip (Glo'ster)
120Pritchard, John
Ricardo, Osman (Worcester)
Ricardo, Sámson (NewWindsor;
. Rice, Edward Royd
Rich, Henry
125 Richardson, Jonathan Joseph
Ridley, George
Robarles, Tilomas James Agar
Roebuck, John Arthur
RusseU, Lord John (London)
130Sowle, C. Brune Graves
Scholefield, Williain
Seymour, Wm. Digby (HuIU
Shofto, Robert Duncombe
Shelley, Sir John Villiers
135Sheridan, Richard Brinsley
Smith,JohnBenjamin(Stockport
Somerville, Rt.Hn.SirW.M'ereil.
Strutt, Rt. Hon. Edward
Stuart, Captain (Bedford) .
UÖTempest. Lord Adolphus Vane
Thornely, Thomas
ThornhiU, William Pole
Tite, William
Tollemache, John
145Vernon,GranvilleE.H.(Newarkj
Walmsley, Sir Joshua
Walter, John
Watkins, Colonel Lloyd
Wickhomy Henry· Wickham
150Wilkinson, William Arthur
WiUcox, Brodie M'Ghie
Williams, Thos. Peers (Marlow)
Williams, WUliam (Lambeth)
Wbrtley, Rt. Hn. Jas. Stuart
155 Wyvili, Marmaduke
T'-jicrs for the Noes, Mr. Raikes Currie and Mr. John Evelyn Denison.
