V die Maii, 1856
133
Hu«,. WUUam
Ingham, Robert
Ingram, Herbert
Jackson, WJlUam
155Jermynjs.Èarl
Johnstone, Jas. (Clackmannan)
Johnstone, Sir John (Scarboro)
Keating, Hen. Singer (Reading)
Kershaw, James
160King,Hn. P. Jn. Locke (Surrey)
Kingscote, Rob. Nigel Fitzhard.
Kinnaird, Hn. ArthurFitzgerald
Kirk, William
Labouchere, Rt. Hon. Henry
165Laffan, Robert Michael
Längsten, Jabíes Haughton
Langton, Henry Gore (Bristol)
Lay aid, Austen Henry
Lee, William (Maidstone)
l70Legh,Geo.Cornwall(CheshireN.)
Lemon, Sir Charles
Lewis, Rt. Hn. Sir G. Cornewall
Lindsay,Wm.Schaw (Tynem'th)
Lowe, Rt. Hn. Robert
175Luce, Thomas
Mackie, John
Mackinnon, William Alexander
M'Taggart, Sir John
Magán, William Henry
leOMarjoribanks, Dudley Coutts
MorshaU, William
Martin, John (Tewkesbury)
Martin,PhU.Wykeham( Röchest.
Massey, William Nathaniel
185Milligan, Robert
Mills, Thomas
Milner, Sir Wm. Mordaunt Edw.
Milnes, Richard Monckton
Mitchell, Thos. Alex. (Bridport J
190Moffatt, George   .
Monck, Viscount
Moncreiff, James
Monsell; Rt. Hn. William
Morris, David
195Mostyn Hn.Tho.Ed.Most.Lloyd
Mowatt, Francis
Mulgrave, Earl of
Muntz, George Frederick
Napier, Sir Charles ( Southwark)
200Norreys, Sir Denham Jephson
North; Frederick (Hastings)
O'Brien, Patrick (King's Co.)
O-'Brien, James (Limerick)
O'Connell, Captain (Clonmel)
i?050'FIaherty, Anthony
Oliveira, Benjamin
Osborne, Ralph
Otway, Arthur John
Owen, Sir John
210Paget, Lord Alfred (Lichfield)
Palmer, Roundell (Plymouth)
Palmerston, Viscount
Patten, Colonel Wilson
Paxton, Sir Joseph
215PechelI,Sir George Brooke
Peei; Sir. Robert (Tamworth)
Peel, Frederick (Bury)
Pellatt, Apsley
Perry, Sir Thomas Erskine
220Phillipps, John Henry
Philiimore, John G..(Leoininster)
Philiimore, Rob. J. (Tavistock)
Pigótt, Francis»
Pilkington, James
225Pollard-Urquhart, W.
Ponsoriby, Hn. Ashley G. .lohn
Power, Nicholas
Price, WiUiam Philip (Gloster.)
PrRchard, John
230Ramsden, Sir John William
Raynham, Viscount
Ricardo, Osman (Worcester)
Ricardo, Samson (NewWindsor)
Rice, Edward Royd
235Rich, Henry
Richardson, Jonathan Joseph
Ridley, George
Robartes, Thomas James Agar
Roebuck, John Arthur
240RoIt, Peter
Russell, Lord John (London)
Russell, Fr. C. Hastings (Beds)
Russell, Francis W. (Limerick)
Sawle, C. Brune Graves
245Scholefield, WilUam
Scobell, Captain
Scrope, George Poulett
Scully, Francis (Tipperary)
Seymour, Henry Danby (Poole)
250Seymour, Wm. Digby (Hull)
Shafto,' Robert Duncombe
Shee, William
Shelburne, Earl of
Shelley, Sir John Villiers
25 5 Sheridan.'Richard Brinsley
Smith, JohnBenjnmin( Stockport
Smith, M. Tucker (Wycombe)
Smith, Rt.Hn.R.Vernon(N'ton)
Smyth, Colonel (York City)
260SomerviUe,Rt.Hn.SirW.Mered.
Stafford, Marq.of (Sutherlandsh
Stanley,Hn.Wm.Owen(Chester)
Steel, John
Strickland, Sir George
265Strutt, Rt. Hn. Edward
Sullivan, Michael
Sutton, John Henry M.
Talbot, Christopher Rice M.
Tancredi Henry William
270Thompsori, George
Thornely, Thomas
ThorrihiU, William Pole
Tite, William
Tomline, George
275Traill, George
Uxbridge, Earl of
Vane, Lord Harry
Vernon,GranviUe E.H(Newark)
Villiers, Rt. Hn. C. Pelham
280Vivian, Henry Hussey (Trurò)
Waddington, David (Harwich)
Wahnsley, Sir Joshua
Walter, John
Warner, Edward
îSWaterpark, Lord
Watkins, Colonel Lloyd
Watson, WiUiam Henry
Wells, William
Whatman, James
2i)0Whitbread, Samuel
Wickham, Henry Wickham
Wilkinson, WiUiam Arthur
Willcox, Brodie M'Ghie
Williams, Michael ( Cornwall W. )
295Williams, WUUam (Lambeth)
Wilson, James
Winnington,'Sir Thomas Edward
Wise, John Ayshford
. Wood, Rt.Hn.SirChas. (Halifax )
300Wrightson, William Battie
Wyndham, William (Wilts, S.)
Wyvill, Marmaduke
Tellers for the Noes, Mr. Hay ter and Mr. Grenville Berkeley.
