84
H iime, W. Fitzwilliam
Ingham, Robert
Jolliffe,SirWm.G.Hylton(Peters.
Jones, Admiral ( Londonderry)
95Kendall, Nicholas
Kennedy, Tristram
Kirk, William
Knatchbull, William Francis
Labouchere, Rt. Hon. Henry
lOOLennox, Lord Henry G. (Chich)
Lewis, Rt. Hn. Sir G. Cornewall
Liddell, Hon. Henry George
Lindsay, Hon. Colonel (Wigan)
Littleton, Hn. Edward Richard
lOóLockhart, Allan EUott (Selkirk)
Lockh'art, William (Lanarksh.)
Lovaine, Lord
Lowe, Rt. Hn. Robert
MacEvoy, Edward
HOM'Cann, James
Maguire, John Francis
Manners,LordJohn(Colchester)
Martin,Phil.Wykeham(Rochest.
Massey, William Nathaniel
1 IiTiMeagher, Thomas
MiUs, Thomas
Micheli, WilUam (Bodmin)
Moffatt, George
. Monck« Viscount
TJOMoncreiff, James
Moliseli. Rt. Hn. WilUam
Montgomery, Hugh L.(Leitrim)
Montgomcry,SirGraharri(Fbles)
14° dieAprilis, 1856.
Morris, David
125Mostyn,Hn.Tho.Ed.Most.Lloyd
Mulgrave, Earl of
Murrough, John Patrick
Naas, Lord
Napier,Rt.Hn.Joseph (DublinU.
lSONapier, Sir Charles (Southwark)
Newark, Viscount
North, Frederick (Hastings) .
O'Brien, James (Limerick)
O'ConneU, Capt. Daniel (Tralee)
1350'ConneU, Captain (Clonmel)
OUveira, Benjamin
Ösbörne, Ralph
Pakington, Rt. Hn. Sir John
Palmerston, Viscount
140Peacocke, Geo. Montagu Warren.
Peel, Sir Robert (Tomworth)
Percy, Hon. Joceline WilUam
Philipps, John Henry
Pollard-Urquhort, W.
145Portal, MelviUe
Power, Nicholas       .
Repton, George WiUiam John
Ricardo, Samson (NewWindsor)
Richardson, Jonathan Joseph
160Ridley, George
Robertson, Patrick Francis
Russell, Lord John (London)
RusselLFr. C. Hastings (Beds)
Russell, Francis W. (Limerick)
155Sawle, C. Brune Graves
Seymer, Henry Ker (Dorset)
Seymour, Henry Danby (Poole)
Seymour, Wm. Digby (Hull)
Shee, WiUiam
160Smith,Rt. Hn. R.Vernon'(N'ton)
Smith, Abel (Herts)
SmoUett, Alexander
Spooner, Richard
Stafford,Augustus (North'tOAN)
165Stafford, Marq. of (Sutherlandsh.
Steel, John
Stirling, WilUam
Steyart,SirMich.R.S.(Renfrew)
Stuart, Captain (Bedford)
I706ullivan, Michael
Tancred, Henry WiUiam
Vance, John
Vansittart, George Henry
Verner, Sir William
176Villiers, Rt. Hn. C. Pelham
Waterpark, Lord
Watson, William Henry
Wells, WilUam
Whatman, James
180Whiteside, James
Wickham, Henry Wickham
Wigram, Loftus Tottenham
Wilson, James
Wise, John Ayshford
185Wood,Rt.Hn.SirChas. (Halifax)
Woodd, Basil Thos.( Knaresbo.)
Teller's for the Noes, Mr. Hayter and Mr. Grenville Berkeley.
