76
10° die Aprìlis, 1856.
Horsfall, Thomas Berry
Hotham, Lord
Hume,W. FitzwiUiam
Jolliffe.HedworthHyltonOWell.s)
óOKendall, Nicholas
Khatchbull, William Francis
Knight,. Frederick Winn
Knox', Colonel (Marlow)
Langton,W. Gore (Somerset.W;
55Lennox, Lonl Henry G. (Chich.)
Lockhart, William (Lanarksh.)
Lovaine, Lord
Macartney, George
MacGregor, James (Sandwich *
60Maguire, John Francis
March,-Earl of
Michel!, William (Bodmin)
Montgomery, Hugh L. (Lei trim)
Montgomery,SirGraham(P'bles)
(iöMowbray, John Robert
Mundy, William
Murrough, John Patrick
Naos, Lord
Napier,Rt.Hn.Joseph(DublinU.
/ONewdegate, Charles Newdigate
Newport, Viscount
Noel, Hon. Gerard James
O'Brien, James (Limerick)
Pakington, Rt. Hon. Sir John
75PaIk, Lawrence
Repton, George WiUiam John
Rust, James
Scott, Hon.-Francis
Sibthorp, Major
eOSpooner, Richard
StaffordjAugustus (North'tonN.
Stanhope, James Banks
Starkiej Le Gendre Nicholas
Stuart, Captain (Bedford)
85Tayior,'Colonel
Vansittart, George-Henry
Vyse, Colonel
Walpole, Rt. Hn.Spencer Horatio
Whiteside, James
90Whitmore, Henry
Woodd, Basil Thos. (Knaresbo.)
Wynn, Lieut. Colonel (Mónt.)
Wynne, Rt. Hn. John (SUgo)
Yorke, Hon. Eliot Thomas
TeUers for the Noes, Mr.'Vance and Mr. Grogan.
