Seymer, Hénrly Kfr
Shaw, Rt. Hon. Frederick
Sheppard, Thomas
Sheridan, Richard Brinsley
185Shirley, Evelyn J. (Warwicks.)
Shirley, E. Philip (Monaghan)
Sibthorp, Colonel
Smith, Abel (Herts)
Smith, Sir Henry ( Colchester)
I90Sotheron, Thomas Henry Sutton
Spooner. Richard
Spr}·, Sir Samuel Thomas
Stanley, Edward (Cumberland)
Stuart, John (Newark)
195Taylor, Edward (DubUn Co.)
Taylor, J. Arthur (Wore.)
Thompson, Mr. Alderman
Thornhill, George
Tollemache, John (Cheshire)
200Tower, Christopher
TroUope, Sir John
Trotter, John
Tyrrell, Sir John Tyssen
Vyse, Richard H. R. H.
205Vyvyan. Sir Rich. R. (Heiston)
Waddington, Harry S.
Walpole, Spencer Horatio
Walsh, Sir John B.
WiUiams, Thos. Peers (Marlow)
210Wodehouse, Edmond
Worcester, Marquis of
Worsley, Lord
Wynn, SirWatkin W. (Denbh's.)
Yorke, Hon. Eliot Tho. (Camb.)
TeUers for the Noes, Major Beresford and Mr. Newdegate.
