374
Loder, Gerald Walter Erskine
Long,Col.CharlesW.(Evesham
Long,Rt Hn. Walter (Li verpool
ieOLopes, Henry Yarde Buller
Lome, Marquees of
Loyd, Archie Kirkman
Lucae-Shadwell, William
Macartney, W. G. Ellison
ieSMacdona, John Cumming
Maclean, Jamee Mackenzie
Maclure, John William
M'Calmont, H. L. B. (Cambs.)
M'Calmont,Col. II (Antrim N.
170M'Calmont, Capt J.( Antrim.E.
M'Killop, James
Maple, Sir John Blundell
Martin, Richard Biddulph
Massey- Mainwaring, Hn. W. F.
175Mellor, Colonel ( Lancashire)
Meyeey-Thompson, Sir H. M.
Milbank, Powlett Charles John
Mildmay, Francis Bingham
Milner, Sir Frederick George
180MiItOn, Viscount
Milward, Colonel Victor
Monckton, Edward Philip
Moon, Edward Robert Pacy
More, Robert Jasper
185Morgan, Hn.Fred.( Monm'thsh.
Morrison, Walter
Mount, William George
Murray, Andrew Graham (Bute
Murray, Charles J. (Coventry)
190Newdigate, Francie Alexander
Nicol, Donald Ninian
Northcote, Hon. Sir H. Stafford
O'Neill, Hon. Robert Torrone
Orr-Ewing, Charlee Lindsay
l'oth May, 1896.
1950swald, James Francis
Parkes, Ebenezer
Pease, Arthur (Darlington)
Pender, James (Northants.)
Penn, John
200Phillpotte, Captain Arthur
Pierpoint, Robert
Plunkett, Hon. Horace Curzon
Pretyman, Capt. Erneet George
Pry ce-Jones, Edward
205 Purvis, Robert
Pym, C Guy
R inkin, Jamen
Rasch, Major Frederic Came
Reed, Henry Byron (Bradford)
210Renebaw, Charlee Bine
Rcntoul, James Alexander
Ridley.RtHon.Sir Matthew W.
Ritchie,Kt Hon.Chas.Thomson
Roberteon, Herbert (Hackney)
215Robineon, Brooke
Russell, Sir George ( Berksh.)
Russell, T. W. (Tyrone)
Rutheiford, Jidin
Samuel, Harry S. (Limekouse)
220Saunderson, Col. Edw. James
Savory, Sir Joseph
Seely, Chai les Hilton
Slinrpe, William Edward T.
Shaw-Stewart, M.H.(Renfrew)
225 Sidebottom ,William (Derbysh.
Simeon, Sir Barrington
Smith, Abel H. (Christchurch)
Smith ,JamesParker ( Lanar ks.)
Smith, Hon. W. F. D. (Strand)
230Spencer, Ernest
Stanley, Lord (Lance.)
Stanley, Edw. Jas. (Somerset)
Stanley, Henry M. (Lambeth)
Stephens, Henry Charles
235Stewart, Sir Mark J.-M'Taggui
Stone, Sir John Benjamin
Straehey, Edward
Strutt, Hon. Charles Hedley
Talbot, Lord E. (Chichester)
240TaIl)Ot, John G. (Oxford Unii.
Taylor, Francis
Thorburn, Walter
Thornton, Percy M.
Tollemache, Henry James
245Tomlin*on, Win. Edw. Mum,·
Tritton, Charles Ernest
Usborne, Thomas
Wanklyn, Jamee Leslie
Ward, Hon. Robert A. (Crewe)
250Warde, Lt-CoI. C E. (Kent)
Waring, Col. Thomas
Warr, Augustue Frederick
Webster, Sir R. E- ( Isle of Wigkt
Wharton, John Lloyd
255 Whiteley, H. (Ashton-underL
Whitmore, Charlee Algernon
Wigram, Alfred Money
Williame, Colonel R. (Dorset)
Williame,JoeephPowell-(-Binj'.
260Willough by do Ereeby, Lord
Wileon, John (Falkirk)
Wileon, J. W. (Worc'eh. N.)
Wilson-Todd, Wm. H. (Yorki
Wodehouee, Edmond Roben
265 Wortley ,Charlee Beil by Stiur.
Wyndham-Quip; Major W. B.
Wyvill, Marmaduke D'Arcy
Younger, William
Tellers for the Ayes, Sir William Walrond and Mr. Anstruther.
Abraham, William (Cork^N.E.)
Abraham, William (Rhondda)
Allan, William (Gateshead)
AUison, Robert Andrew
5Ambrose, Robert (Mayo, W.)
Asher, Alexander
Asbton, Thomae Gair
Asquitb, RtHn.Herbert Henry
AuBtin, Sir John (Yorkshire)
lOAuetin, M. (Limerick, W.)
Balfour,Rt.Hn.J.Blair(Clackm.
Bayley, Thomas (Derbyshire)
Beaumont, Wentworth C B.
Blake, Edward '
15Bolton, Themas Dolling
Brigg, Job*
Broâdhurst*; Henry
Brunner, Sir John Tomlinson
BrycerRt. Hon. James
NOES.
20Buchanan, Thomae Ryburn
Burt, Thomas
Buxton, Sydney Charlee
CaMwell, Jamee
Cameron.'Robert
25Carvill, Patrick Geo". Hamilton
Cawley, Frederick
Channing, Francie Alleton
Clark, Dr. G. B. ( Caithness-sh.)
Col ville, John
30Comnton, Earl (Bamsley)
Condon, Thomas Joseph
CrUIy, Daniel
Cromine, John William
Curran, Thomas B. (Donegal·)
8 5 Corran, Thomae (Sligo, S.)
Eaviee,M.Vaughan- (Cardigan
avitt, Michael
Dilke, Rt. Hon. Sir Charles
Dillon, John
40Dixon, George
Donelan, Captain A.
Doogatf.'P. C.
Dunn, Sif William
Evans,SjfFranci-jH (South'to
45Everehed, Sydney
Farrell, James P. (Cavan, W.
Fenwick, Charles
Ferguson, R. C Munro (Leiti|
Flynn, James Christopher
eOFoster, Sir Walter (Derby Oi
Fowler, Sir Henry (Wolvertt
Fowler, Matthew (Durham)
Fry, Lewis
Gourley ,Sir Ed wardTemperlfl
55Grey,'SjfrEdward (Berwick)
Griffithjfcllia J.
Haldane, Richard Burden
