13th May, 1896.
5h. 45m.
373
B. M:
N'umb. 143
Queetion put accordingly, " That the word ' five ' stand part of the proposed Amendment':"-
The Committee divided ,· Ayes 268, Noes 148.
Acland-Hood, Capt. Sir A. F.
Allsopp, Hon. George
Arnold, Alfred
Arnold-Forster, Hugh O.
5Anrol, Sir William
Aecrofr, Robert
Aehmead-Bartlett, Sir ElHe
Atkineon, Rt Hon. John
Bagot, Capt. Joeceline Ï itzRoy
lOBailey, James (Walworth)
Baillie, Jamee E. B. (Inverness)
Baird, John George Alexander
Balcarres, Lord
Baldwin, Alfred
15Balfour,Rt Hon. A.J.(Manch'r
Balfour,Gerald William ( Leeds)
Banbury, Frederick George
Barnep, Frederic Gorell
Barry, A, H. Smith- (Hunts.)
SOBarry, Francis Trees( Windsor )
Bartley, George C. T.
Bathurst, Hon. Allen Benjamin
Beacb,Rt.Hn.SirM.H.(Brietol)
Begg, Ferdinand Faithful
2SBemroee, Henry Howe
Bethell, Commander
Bhownaggree, Mancherjee M.
Biddulph, Michael
Bigwood, James
30Blundell, Colonel Henry
Bolitho, Thomae Bedford
Bond, Edward
Boiilnoie, Edmund
Bouetield, William Robert
35Bowles-, T.Gibsan (King's Lynn
Braseey, Albert
Brodrick, Hon. St John
Brookfield, A. Montagu
Brown, Alexander H.
40Brymer, William Ernest
Bullard, Sir Harry     ,.
Byrne, Edmund Widdjf njjton
Campbell, James A.
Cavendish, R. F. (N. Lanes.)
45Cavendish,V.CW.(Derbyshire
Cayzer, Charles William
Cecil, Lord Hugh
Chaloner, Captain R. G. W.
Chamberlain, J.Au8ten(Worc'r
üOChanlin, Rt. Hon. Henry
Cheieea, Vistfount
Clare; Octavius Leigh
AYES.
Clarke, Sir Ed ward ( Plymouth)
Cochrane, Hon. Thos. H. A. E.
55Cohen, Benjamin Louis
Collines, Rt Hon. Jesse
Colomb.Sir JohnCharles Ready
Coletón, Chas. Edw. H. Athole
Combe, Charles' Harvey
eOCompton, Lord Alwyne (Beds.
Cooke, C. W. Radcliffe (Heref'd
Cotton-Jodrell,Col. Edw. T. D.
Courtney, Rt Hon. Leonard H.
Cox, Robert
65Cripp*., Charlee Alfred
Cross, Alexander (Glasgow)
Croes, Herb. Shepherd (Bolton)
Cubitt, Hon  Henry
Currie, Sir Donald
70Curzon,Rt.Hn.G.N.(Lanc.S.W
Curzon, Viscount (Bucke.)
Dalbiac, Major Philip Hugh
Dalkeith, Earl of
Dalrymple, Sir Charlee
75 Darling, Charlee John
Davies, Horatio D. (Chatham)
Donkin, Richard Sim
Dorington, Sir John Edward
Douglas, Rt. Hon. A. Akere-
eODoxlord, William Theodore
Duncombe, Hon. Hubert V,
Fardell, Thomae George
Fellowee, Hon. Ailwyn Edward
Fergueson,Rt.Hn.SirJ.(Manc'r
85Fielden, Thomas  *
Finch, George H.
Finlay, Sir Robert Bannatyne
Fisher, William Hayes
Fison, Frederick William
90 FitzGerald, R. Uniacke Penrose
Fitz Wygram, Sir Frederick
Fletcher, Sir Henry
Flower, Ernest
Folkestone, Viscouet
95Foreter, Henry William
Forwood, Rt. Hn. Sir Arthur B.
Foster, Colonel ( Lancaster)
Galloway, William Johnson
Garfit, William
lOOGedge, Sydney
Gibbs,Hn.A.G.H.(CityofLond.
Gibbs, Hon. Vicary ( St. Aflsne
GUlfat, John Saunders
'Godson, Augustus. Frederick
SQ
105 Golds worthy, Major-General
Gordon, John Edward
Gorst,Rt. Hon. Sir John Eldon
Goechen, Rt Hn.G. J. (StG'rg's
Goechen, George J. (Sussex)
UOGoulding, Edward Alfred
Graham, Henry Robert
Green.Walford D.( Wedneeb'ry
Greene, Henry D. (Shrewsbury
Gull, Sir Cameron
U5Gunter, Colonel
Hamilton, Rt Hon. Lord Geo.
Hanbury, Rt Hon. Robert Wm.
Havelock-Allan, Sir Henry
Helder, Augustus
l20Hermon-Hodge, Robert Trotter
Hickman, Sir Alfred
Hill.RtHn. Lord Arthur (Down
Hill, Rt Hn. A. Staveley( Staffe.
Hill, Sir Edward Stock (Bristol
l25Hoare,Edw.Brodie(Hamnetead
Hoare, Samuel (Norwich)
Holland, Hon. Lionel Raleigh
Houldsworth, Sir Wm. Henry
Howard, Joeeph
180Howell, WUliam Tudor
Howorth, Sir Henry Hoyle
Hozier, James Henry Cecil
Hubbard, Hon. Evelyn
Hudson, George Bickersteth
135 Hulee, Edward Henry
Hunt, Sir Frederick Seager
Hutchinson, Capt G. W. Grice-
Hutton, John (Yorks. N.R.)
Jackson, Rt Hon. Wm. Lawies
140Johnston, William (Belfast)
Johnstone, John H. (Sussex)
Kennaway, Sir John Henry
Kenny, William
Keñyon, James
145Kenyon-Slaney, Col. William
Kimber, Henry
King, Sir Henry Seymour
Knowles, Leee
Laurie, Lieut-General
150Lawrence, Wm. F. (Liverpool)
Lawson, John Grant (Yorks.)
Lecky, William Edward H.
Lcighton, Stanley
Llewellyn, Evan H. (Somerset)
155 Llewelyn ,SirDillwyn- (Swans'a
Lockwood, Lt-CpI. A R.(Essex
