440
Shnrpe, William Edward T.
Shaw-Stewart, M.H.(Renfrew)
150Sidebotham, J. W.(Cheshire)
Simeon, Sir Barrington
Smith. Abel (Herts)
Smith,.Abel H. (Christchurch)
Smith,Jnmes Parker(Lanarks.)
155Stanley, Lord (Lane.--.)
Strauf-8, Arthur
Strutt, Hon. Charles 11 ed ley
Sturt, Hon. Humphry Napier
Tellers for the Ayes, Sir Wi
21st May, 1896.
Thornton, Percy M.
ieOToinlinson, Wm. Edw. Murray
Tritton, Charles Ernest
IJ fabo me, Thomas
Valentia, Viscount
Vincent, Col. Sir C. E. Howard
165Wnuklyii, James Leslie
Warkworth, Lord
Webster, R. G. (St. Paneras)
Webster.Sir K.E.( Ish-of Wight
Whiteley, H. ( Ashton-under-L.
lliam Walrond and Mr. Anstrutber,
170Wickham, William
Wigraia, Alfred Montr
Williams.JosephPoweli-il
Willoughhy deEresbT.li
Willox, John Archibald
175Wilson, John (Falkirk)
Wilson-Todd, Win, II.¡?,
Wodehouse, Edmond ¿¡1
Wortley.Rt. Hon.C.Bv,
Wyndham, George
180WyviII, MarinadukeDis
Abraham, William (Rhondda)
Allen,Win.(Newc. under Lyme
Arch, JoM-ph
Atherley-Jont-s, L.
SAustin, M. (Limerick, W.)
Bainbridge, Einers ?
Beaumont, Wtntwotth C. B.
Birrell, Augusthit·
Blake, Edward
lOBowles/f.Qihson (King's Lynn
Broadhurst, Henry
Brunner, Sir John Toinlinson
Bryce, Rt. Hon  James
Buxton, Sydney Charles
lôCaldwell, James
Camphell-Buiincrmaii, Sir IL
Curvili, Patrick Geo. Hamilton
Causton, Richard Knight
Cawley, Frederick
20Clark,Dr.G. B.(Caithness-sh.)
Colville, John
Dal ziel, James Henry
Davies, M. Vaughan- (Cardigan
Davitt, Michael
25Dilke, Rt. Hon. Sir Charles
Dillon, John
Donelan, Captain A.
Doogan, P. C
Engledew, Charles John
30Foster, Sir Walter (Derby Co.)
Fowler, Sir Henry ( Wolverh'n
Tellers for the Noes, Mr. Thomas Ellis and Mr. M'Arthur.
NOES.
Fowler, Matthew (Durham)
Guddard. Daniel Ford
Griffith, Ellis J.
35Haldaue, Richard Bunion
Harcourt, Rt. Hon. Sir William
Harrison, Charles
Harwood, George
Hay ne, Rt. Hon. Charles Seale-
4UIIa-CeII, Walter
llogan, James Francis
Holden, Angus
Horniman, Frederick John
Jameson, Major J. Eustace
45Johnson-Ferguson, Jabez Edw.
Jones, Williaiu(Carnarvonshire
Kearley, Jludson E.
Kilbride, Denis
Kitsou, Sir James
50Kno.\, Edmund Francis Vesey
Lambert, Gi orge
Langlev, Batty
L'awson.SirWilfriiKCuinb'hind
Ltuty, Thomas Richmond
55Lewis, John Herbert
Lloyd-George, David
Logan, John William
Lough, Thomas
Luttrell, Ilujih Fownes
60Mae.Altese, Daniel
M'Kenua, Reginald
M'Larcn, Charles Benjuo
Maden, John Henry
Morgan,Kt.IIn.SirG.O^lH
65Nussey, Thomas Wilhra
O'Connor, James (Wick!*
Oldroyd, Mark
Paulton, James MeIUr
Pearson, Sir WeetminD
70Pease, Henry Fell( YorUÏ
Pease, Joseph A. (Noni*
Picket Kgill, Edward Ihr»
Pirie, Captain Duncan Tl
Roberts, John IL (Deta-j!
75Robson, William Snowds)
Roche, Hon. James(EisI
Samuel, J. (Stockton·»?
Shaw, Charles Edw. (*d
Shaw, William Rawsonfäl
80Smith, Samuel (Flint)
Stevenson, Fiancis S.
Stuart, James ( Short-id
Sullivan, Donai (Ww*
Tannt-r, Charle» ríearn
85Trevelyan,Kt.IIn.Sirîsl
Wallace, Robert (Peni
Wedderhurn, Sir Willis
Whittaker, ThoinisFiji
Wilson, Henrv J.(York.l
9uWoodhoiise,S"irJT(Huiii
Yoxall, James Henrv
