888
Beach,Rt.Hn.SirM.H.(Bristol)
Bemrose, Henry Howe
Bentini-k, Lord Henry C.
Bethell, Commander
20Blündcll  Colonel Henry
Bond, Edward
Bdscawon, Arthur Griffitb-
. Brateey, Albert
Brodrick, Hon. St. John
SSBuUard, Sir Harry
Butcher, John George
Ca vend ¡sh, V. C. W, (Derbyshire
Cecil, Lord Hugh
Cbaloner, Captain R. G. W.
80Chamberlain,Rt.Hon'.J.(Birm.
Chaplin, Rt. Hon. Henry
Charringtou, Spencer
Clare, Octavius Leigh
Clarke, Sir Edward (Plymouth )
35Cochrane, Hon. Thos. H. A. E.
Coghill, Douglas Harry
Cohen, Benjamin Louis
Collings, Rt. Hon. Jesse
ColombjSir JohnCbarles Ready
40Colston, Chas. Edw. H. Athole
Combe, Charles Harvey
Compton, Lord Alwyne (Beds.
Cook, Frei I. Lucas (Lambeth)
Cooke,C. W. Radcliffe (Heref U
45Corbctt, A. Cameron (Glasgow
Cox, Robeit
Cranborno, Viscount
Cripps, Charles Alfred
Cruddns, William Donaldson
50Curzon,Rt Hn.G.N.(Lanc.S.W
Curzon, Viscount (Bucks.)
Dalrymple, Sir Charles
Digby, John K. D. Wingfield-
Dorington, Sir John Edward
55Dougias, Rt. Hon. A. Akers-
Doxtord, William Theodore
Drago, Geoffrey
Duncombo, Hon. Hubert V.
Edwards, Gen. Sir James Bevan
eOFardcll, Thomas George
Fellowes, Hon. Ailwyn Edward
. Fergusson.Rt.Hn.Sir J.( Manc'r
Field, Admiral (Eastbourne)
Finch, George H.
65Finlay, Sir Robert Bannatyne
Fisher, William Hayes
FitzGornld, R.Uniacke Penrose
Fitz Wygram, General Sir F.
Flnnnery, Fortoscue
70Flotchor, .vir Ilenr/
Folkestone, Viscount
Foster, Coli.nel (Lancaster)
28th July, 1896.
Fry, Lewis
Gaifit, William
75Gcdge, Sydney
? Goldsworthy, Major-General
Gordon, John Edward
Gorst, Rt. Hon. Sir John Eldon
Goschen,Rt.Hn.G.J.(St.G'rg*e
eOGoschen, George J. (Sussex)
Goulding, Edward Alfred
Greene, W. Raymond· ( Cambe)
G ret ton, John
Hamilton, Rt Hon. Lord Geo.
85Hanbury,Rt. Hon. Robert Wm.
Hardy, Laurence
Hare, Thomns^Leigh
Haslett, Sir James Horner
Havelock-Allan.General Sir H.
90HeIder, Augustus
Hermon-Hodge,Robert Trotter
Hickman. Sir Alfred
HiIl1Rt Hn.Lord Arthur (Down
Hill, Sir Edward Stock (Bristol
95Honre, Samuel (Norwich)
.     Howell, William Tudor
Hubbard. Hon. Evelyn
Hutton, John ( Yorks. N.R.)
Jessel, Captain Herbert Merton
lOOJohnston, William (Belfast)
Johnstone, John H. (Sussex)
Jolliffe, Hon. H. George
Kenny, William
Knowles, Loos
105Lafone, Alfred
Lawrence, Edwin (Cornwall)
Lawrence, Wm. F. (Liverpool)
Lawson, John Grant (Yorks.)
Lecky, William Edward H.
llOLees, Elliott (Birkenhead;
Legh, I Ion. Thomas W. ( Lane. V
Llewellyn, Evan H. (Somerset)
Lockwood, Lt.-Col. A.R.( Essex
Loder, Gerald Walter Erskine
115Long,Rt.HnWaltcr( Liverpool
Lome, Marquess of
Loyd, Archie Kirkman
Lucas-Shad well, William
Macartney, W. G. Ellison
120Macdona, John Cumming
M Calmont,Maj.-Gen.(Ant'mN
M'Killop, James
Martin, Richard Biddulph
Massey-Main waring, Hn. W. F.
125Mel)or, Colonel (Lancashire)
Melville, Beresford Valentine
Milbank, Powlett Charles John
Milton, Viscount
Milward, Colonel Victor
180Monk, Charles James
. More, Robert Jasper
Morrell, George Herbert
Muntz, Philip A.
MurrayjRtlln.A Graham(Buta
135Murray, Charles J. ( Coventry)
Nicol, Donald Ninian
O'Neill, Hon. Robert Terrena
On-Ewing, Charles Lindsay
Parkes, Ebenezer
140Pierpoint, Robert
Plunkett, Hon. Horace Curzon
Pollock, Harry Frederick
Pryce-Joncs, Edward
Purvis, Robert
145Rnnkin, James
Renshaw, Charles Bine   .
. Ridley ,Rt.Hon.Sir Matthew W,
Ritchie.Rt Hon.Clias.ThomsoBi
Robertson, Herbert (Hncknev)
150Round, James
Russell, T. W. (Tyrone)
Rutherford, John
Saunderson, Col. Edw. Jame·
Seely, Charles Hilton
155Sharpe, William Edward T.
Shaw-Stewart, M.H.( Renfreir)
Sidcbotham, J. W. (Cheshire)
Sidcliottoin, William (Dérbjsh.
Simeon, Sir Barrington
160Smith,Abcl H. (Christchurch)
Smith.James Parket ( Lanarks.)
Smith, Hon. W. F. D. (Strand)
Stanley. Lord (Lanes.)
Strauss, Arthur
165Strutt, Hon. Charles Hedley
Thorburn, Walter
Thornton, Percy.M.
Tom lirismi, Wm. KiIw. Murray
Tritton, Charles Ernest,
l70Wanklyn, I .-unes Leslie
Waring, Col Thomas
Warkworth, Lord
Warr, Augustus Frederick
Webster.Sir R.E ( lslcof Wipi*'
175Welby, Lieut -Col. A. C. E..
Went worth, Bruce C. Verno*
Whitroorc, Charles Algernon':
Willianis,Ji)scphlWell-(BirnV
Willox, John Archibald
ieOWilson, J. W. ( WorcVh/S.)
Wolff, Gustav Wilhelm
Wylíe, Alexander
Wyvill, Maiiiiiilnkc D'Arcy
Yerburgh, Robert Armstronj
Tellers for the Noes, Sir William Walrond and Mr. Anstruthcr.
