27th April, 1896.
313
8 h. 40 m.
B. M.
Numb. 121.
Mr. Balfour claimed, " That the Main Question be now put:"-
Main Question put accordingly:-The House divided; Ayes 266, Noes 124.
Acland-Hood, Capt. Sir A. F.
Ascroft, Robert
Atkinson, Rt Hon. John
Bagot, Capt. Josceline FitzRoy
5Baird, John George Alexander
Balcarres, Lord
Baldwin, Alfred
Balfour, Rt Hon. A. J. (Manch'r
Balfour,GeraldWHliam(Leeds)
lOBanes, Major George Edward
Barnes, Frederic Gorell
Barry, A. H. Smith- (Hunts.)
Barry, Francis Tress( Windsor)
Bathurst, Hon. Allen Benjamin
15Beach,Rt JIn.Sir VI.H. (Bristol)
!Beach, W. W. Bramston(Hants.
Begg, Ferdinand Faithful
Bentinck, Lord Henry C
Bethell, Commander
20Bhownaggree, Mancherjee M.
Bigham, John Charles
Blundell. Colonel Henry
Bond, Edward
Bonsor, Henry Cosmo Orme
25Boustield, William Robert
Brassey, Albert
Bro«T ick, Hon. St. John
Brookfield, A. Montagu
Brymer, William Ernest
30Bucknill, Thomas Townsend
Bullard, Sir Harry"
Butcher, John George
Byrne, Edmund Widdrington
Campbell, James A.
35Cavendish, R. F. (N. Lanes )
Cavendish,V.C.W.(Dèrbyehire
Cecil, Lord Hugh
Chaloner, Captain R. G. W.
Chamberlain, Rt Hon. J. (Birm.
40Chamberiain, J. Aueten( Worc'r
Chaplin, Rt Hon. Henry
Charrington, Spencer
Chelsea, Viscount
Clare, Octaviue Leigh
45Clarke, Sir Edward( Plymouth)
Cochrane, Hon. Thos. H. A. E.
Coghill, Douglas Harry
Cohen, Benjamin Louis
Collings, Rt. Hon. Jesse
SOColston, Chas. Edw. H. Athole
AYES.
Combe, Charles Harvey
Cook, Fred. Lucas (Lambeth)
Cooke, C W. Radcliffe (Heref 'a
Cotton-Jodrell, Col. Edw. T. D.
55Courtney, Rt. Hon. Leonard H.
Cox, Robert
Cranborne, Viscount
Cripps, Charles Alfred
Cross, Alexander (Glasgow)
eOCrose, Herb. Shepherd (Bolton)
Cruddas, William Donaldeon
Cubitt, Hon. Henry
Currie, Sir Donald
Curzon,Rt Hn.G.N.(Lanc.S.W
65Curzon. Viscount (Bucks.)
Dalkeith, Earl of
Dalryinple, Sir Charles
Darling, Charles John
Davenport, W. Bromley-
70Daviee, Horatio D. (Chatham)
Digby, John K. D. Wingfield-
Disraeli, Coningsby Ralph
Dixon, George
Donkin, Richard Sim
75Dorington, Sir John Edward
Douglas, Rt. Hon. A. Akers-
Douglas-Pennant, Hon. E. S.
Doxford, William Theodore
Drucker, G. C Adolphus
8GDuncombe, Hon. Hubert V.
Dyke, RtHon. Sir William Hart
Fardell, Thbmas George
Farquhar, Sir Horace
Fellow es, Hon. Ailwyn Edward
85Fergusson,RtHn.SirJ.(Manc'r
Fielden, Thomae
Finch-Hatton, Hon. Harold H.
Finlay, Sir Robert Bannatyne
Firbank, Joseph Thomas
90Fisher, William Hayes
Fison, Frederick William
FitzGerald,R.Uniacke Penrose
Fitz Wygram, Sir Frederick
Flannery, Fortescue
96Fletcher, Sir Henry
Flower, Erneet
Forster, Henry William
For wood, Rt Hn. Sir Arthur B.
Foster, Colonel (Lancaster)
lOOGalloway, William Johnson
4 Y
Garfit, William
Gedge, Sydney
Giles, Charles Tyrrell
Gilliat, John Saunders
l05Goldsworthy, Major-General
Gordon, John Edward
Goret, Rt. Hon. Sir John Eldon
Groschen,Rt.Hn..G.J. (StG'rg's
Goschen, George J. (Sussex)
HOGoulding, Edward Alfred
Graham, Henry Robert  .
Gray, Ernest (West Ham)
Green,Waltord D ( Wednesb'ry
Greene, Henry D. ( SbjjSjwsburv
115Greene, W. Raymono^Gambs)
Gull, Sii* Cameron
Gunter, Colonel
Hamilton, Rt. Hon. Lord Geo.
Hanbury, Rt Hon. Robert Wm.
l20Hanson, Sir Reginald
Hardy, Laurence
Hare, Thomas Leigh
Hatch, Ernest Frederick Geo.
Hay den, Luke Patrick
.25Hazell, Walter
Helder, Augustus
HiU1Rt Hn.Lord Arthur(Down
Hill, Rt Hn. A. Staveley( Staffs.
Hoare,Edw.Brodie(Hampstead
l30Hoare, Samuel (Norwich)
Hobhouse, Henry
Holland, Hon. Lionel Raleigh
Hopkinson, Alfred
Houldsworth, Sir Wm. Henry
135Houston, R. P.
Howard, Joseph
Howell, William Tudor
Howorth, Sir Henry Hoyle
Hubbard, Hon. Evelyn
140Hudson, George Bickersteth
Hughes, Colonel Edwin
Hutchinson, Capt. G. W. Grice-
Hutton, John (Yorks. N.R.)
Isaacson, Frederick Wootton
145Jackson, Rt. Hon. Wm. Lawies
Jeffreys, Arthur Frederick
Johnston, WiUiam (Belfast)
Johnstone, John H. (Sussex;
Jolliffe, Hon. H. George
150Kemp, George
