956
6th August, 1896.
Asher, .Alexander
Balfour,Rt.Hn.J.BlAÌr(Clackm.
-.. Bayley, Thomas (Derbyshire)
: .Birred 1" Augustine .
5Brigg, John'.
:'?;.; Buchanan, Thomas Ryburn
. Caldwell, James   -
.Causton, Richard Knight
.    Clark.Dr.'G.B. (Caithness-sh.)
lOeolville, John
-.: Cromine, John William .
DalzioJ, James Henry
Diike, Rt Hon. Sir Charles
Dillon, John:
15Doogan, P. C.
Farrell, James P. (Cavan, W.)
Góurìey, Sir Edw^ Temperley
... :Griffith,.'EiIuV J\
NOES.
Haldane, Richard Burdon
20Hayne, Rt. Hon. Charles Sealë-
Hazoll, Walter                  /    \
Healy, Maurice (Cork)
Healy, Timothy M- (N. Louth)
HedderwickjThomasCharles H
25Horniman, Frederick JoIm    .
Jone'S,William(Carnaryonshire
Lambert, George
Lewis, John Herbert
Lough, Thomas        '.
âOLnttrell, Hugh Fownes
/ MacAleese, Daniel
M'Arthur, William
M'Ewan, William      '
M'Leod, John
35Mprton,Edward John Chalmers
Murnaghan, George
Pearson, Sir Weetman D.
:    Pirie, Captain Duncan Vernor
Robertson, Edmund (UiirvdëtV
40SIiAW, William Rawson(tlalifa)
Souttar, Robinson
Strachey, Edward
?    Stuart, James (Shoreditch)
Sullivan, Donai (Westineath)
45Tanner, Charles Kearns
Tennant, Harold John
Treyel j\m ,Rt. Hn. Si r Geo.Ottc
Ure, Alexander        ?
Warner, Thomas Courtennv T
50Wedderburn, Sir William "-.':-.
White, James Martin
Whittakei-, Thomas FaItner
/Tellers for the Noes, Mr. Thomas Ellis and Mr. Munro Ferguson.
