156
18th March, 1896.
5 b. 40 m.
B. M.
Numb. 59.
Question'put accordingly:-The House divided; Ayes 239, Noes,82.
Abraham, WUliam (Rhohdda)
Aclana-Hòod, Capt. Sir A. F.
Allen,Wm. (Newc. under Lyme
Allison, Robert Andrew·
5Anétruther, H. T.
Arnold, Alfred
Ari-ol, Sir WUliam
Ashton, Thomae Gair
Atkinson, Rt Hon. John
lOAustin/Sir John (Yorkshire)
BJagot, Capt. Josceline FitzRoy
afcarres, Lord
aldwin, Alfred
nbury, Frederick George
15£arnee, Frederic Gorell
¡arry, A. H. Smith- (Hunts.)
athurst, Hon. Allen Benjamin
Beach,W. W Brameton(Hante.
Beaumont, Wentworth C B.
SOBethell, Commander
Biddulph, Michael
Blalee, Edward
Blundell Colonel Henry
Bolton, Thomae Dolling
J25Boecawen, Arthur Griffith-
Bowles, Capt. H. F. (Middlesex
Brassey, Albert
Brodrick, Hon. St.. John
Brookfield, A. Montagu
30Buchannn, Thomae Ryburn
Campbell, James A.
Carmichael, Sir T. D. Gibson-
Cavendish, R F (N. Lance.)
Cavendish,V.CW.(Derbyehire
35Cawley, Frederick
Chaloner, Captain R. G. W.
Chamberlain,· Rt Hon. J. (Birm.
Chamberlain, J.Aueten(Worc'r
Chaplin, Rt Hon. Henry
40Charrington, Spencer
Clancy, John Joseph
Clare, < )ctavius Leigh
Cochrane. Hon. Thos. H. A. E.
Collings, Rt Hon. Jesse
45Colonib,Sir JolinCharles Ready
Coletón, Chas. Edw. H. Athole
Calville, John
Combe, Charlee Harvey
Compton, Lord Alwyne (Beds.
50Cooke,C.W. Radcliffe (Heref'd
Cotton-Jodrcll, CoK Edw. T. D.
Cox, Robert
Cranborne," Viscount
Crilly, Daniel
55Curran, Thomas (Sligo, 8.)
Curzon, Viscount (Bucks.)
Dalbiac, Major Philip Hugh
Dalkeith, Earl of
Dalrymple, Sir Charles
60Davenport, W. Bro'mley-
Dav ¡es, M. Vaughan- (Cardigan
Digby, John K. D'Wingfield-
Dillon, John
Disrat Ii, Cnningaby Ralph
65Donkin, Richard Sim
Doogan, P. C
Dorington, Sir John Edward
Douglas, Rt. Hon. A. Akers-
Duncombe, Hon. Hubert V.
70Dyke,"Rt. Hon.SirWilliamHart
Edwards, Gen. Sir Jarnos Bevan
Evershed, Sydney
Farquharson, Dr. Robert
Fellowes, Hon. Ailwyn Edward
75Ferguson, R. C Munro (LWh)
Ferausspn,Rt.Hn.SirJ.(Manc'r
Field, Admiral (Eastbourne)
Fieldeo, Thomas
Finch, George H.
80Finlay, Sir Robert Bannatyne
Fishef, William Hayes
Fison, Frederick Williaul
Flower, Ernest
Folkestone, Viscount
85Foster, Colonel (Lancaster)
Galloway, Williain Johnson
Garfit, William
Giles, Charles Tyrrell
Gold, Charles
90Goldsworthy, Major-General
Gordon, John Edward
Goulding, Edward Alfred
Gray, Ernest (Weet Ham)
Greene, Henry D. ( Shrewsbury
95Greene, W. Raymond- (Cambs)
Gretton, John
Gull, Sir Cameron
Halsey, Thomas Frederick
Hanbury, Rt Hon. Robert Wm.
lOOHavelock-AUan, Sir Henry
Hayden, Luke Patrick
He ath, James
Hermon-Holge.Robert Trotter
Hill, Sir Edward Stock (Bristol
lOSHobhouse, Henry
Hordtinson, Alfred.
Howard, Joseph
Howell, William Tudor
Hozier, James Henry Cecil
HOHughes, Colonel Edwin
Hulee, Edward Henry
Huraphreye-tOwen, Arthur C
Hunt; Sir Frederick Seager
Hutchinson, Capt G. W. orice-
li 5Hutton, John (Yorks. N.R)
Jacoby, James Alfred
Jeffreys, Arthur Frederick'
Johnson-Ferguson, Jabez Edw.
Johnston, William (Belfast)
120Johnstone, John H. (Sussex)
JoIHfFe, Hon. H. George
Jones,D.ividBrynmor(Swaneea
Kennaway, Sir John Henry
Kenny, W.(Dub.,S.Stphn*sGr'n
125Kenyon, James
Kenyon-Slaney, Col. Williain«
Kinfoch,Sir JòhnGeorgéSmyth
Knox, Edmund Francis Vesey
Lawrence, Edwin (Cornwall)
130Lawson, John Grant (Yorks.)
Legh, Hon. Thomas W- (Lane.)
Leighton, Stanley
Llewellyn, Evan H. (Somerset)
Llewellyn,SirDillwyn-(Sw'ns'a
135Lloyd-George, David
Lockwood,Lt.-Col. A.R.(Essex
Long,Col. Charles W. ( E vesham
Long,Rt.Hn.Walter(Liverpool
Lowther. Jas. W.( Cumberland)
140Lu,bbock, Rt Hob. Sir John
Lucaa-Shad well, William
Luttrell, Hugh Fownes
Lyell, Sir Leonard
Macdona, John Cumming
145Maclure, John William
M'Calmont, CoI. H. (Antrim N.
Malcolm, Ian
Maxwell, Sir Herbert E.
MUbitik, Powlett Charles ,John
150 Mil ward, Colonel Victor
Monk, Charles James
More, Robert Jasper
Morgan,Hn.Fred. (Monm'thsh.
Morgan.Rt Hn.SiiG.O.(Denbs.
155Morgan, J.Lloyd (Carmarthen)
Morrell, George Herbert
