Micartncy, W. G. Ellison
Mícilon.1, John Gumming
Maclean, James Mackenzie
Madure, John William
5iM'Cahnnn.t, Col. II. (Antrim ]
M'lver, Lçwis
?'??????, James
M'Lareri, Charles Benjamin
Malcolm, Ian
lJOMaple. .Sir John Blundell
lbHt.-v-Mainw.ai <http://lbHt.-v-Mainw.ai> ing, Hn. W. F.
Mersey-Thompson, Sir H. M.
Millian'k, Powl« tt Charles John
Mildinny, Francis Bingham
¡55Milner,".Sir Frederick George
Milw.-11-.I, Clone! Victor
Jlnhcktim, Iv!w.·)n.l Philip
Monk, Cbailes James
.Moon,. Edward Robert Pacy
|"l)lli)ri', Hubert Jasper
Morgan. IIn.Fiéd.( Monin'thsh.
Morris« ?, Walter
Mount, William George
Murr:iy,.\i drew Graham (Bute
!"Murray, Charles J. (Coventry)
Myers, Will ¡am Henry
Nicol, Donald Ninian
Sortiate, I lori. Sir II. Stafford
O'Neill, Hon. Robert. Torrens
{¡¡Orr-Esving, Charles Lindsay
Oiiralil, Jantes Francis
Fitaer,.S'irChiirles M. (Durham
Pitkes, Elu nezer
Piase, ??-thui- (Darlington)
23ni June, 1896.
185Penn, John
Phillpotts, Captain Arthur
Plunkett, Hon. Horace Curzon
Pretyman, Capt. Ernest George
Pryce-Jones, Edward
190Rankin, James
Rasch, Major Frederic Carne
Reed,,Henry Byron (Bradford)
Benshaw, Charles Bine
Rickett, J. Compton
195ltidley,Rt Hon.Sir Matthew W,
Ritchie,Rt.IIon.Clias.Thomson
Roberts, John II. (Denbighs.)
Robertson, Herbert. (Hackney)
Round, James
200Royds, Clement Molyneux
Russell,Col. F. S.. (Cheltenham
Russell, Sir George (Berksh.)
Russell, ?. W. ( l'yrone)
Samuel, Harry S. (Limehouse)
205Savory, Sir Aoseph
Seely, Charles Hilton
,Sharpe, William Edward T.
«Shaw-Stewart,M.H.(Renfreifr)
Sidebothain, J. W. (Cheshire)
210Sidebottoin, William (Derbysh.
«Simeon, Sir Barrington
Smith, Abel (Herts)
Smith, Abel H. (Christchurcli)
Smith, Hon. W. F. D. (Strand)
215Spencer, Ernest
Stanley, Lord (Lanes.)
Stanley, Edw. Jas..(Somerset)
Stewart, Sir Mark J. M'Taggart
637
Stirling-Maxwell, Sir John M
220Stock, James Henry
Stone, Si^ John Benjamin
Straehey, Edward
Strutt, Hon. Charles Hedley
Talbot, Lord E. (Chichester)
225Talbot, John G. ( Oxford Univ.
Thorburn, WaJtQi*
Thornton, Percy M.
Tomlinson, Win. Edw. Murra>
Triften, Charles Ernest
230Valent.Ìa, Viscount
Vincent, Col. Sir C. E. Howard
Wanklyn, James Leslie
Ward, Hon. Robert A. (Crewe)
Warde, Lt-CoI. C. E. (Kent)
235Waring, Col. Thomas
Warkworth, Lord
Warr, Augustus Frederick
Webster, Sir R. E. ( Isle of Wight.
Welby, Lieut.-Col. A. C. E.
JMOi&etoworth, Bruce G. Veruón*
Wharton, John Lloyd
Whiteley, 11. ( Ashton-iinder-L.
Wickiiam, William
Wigrain, Alfred .Money
245Williams, Colonel R. (Dorset)
W.illiains,Josep]iPowell*(Birm.
Wot'chouso. Edmond R. (Bath
Wolff, Gustav Wilhelm
Wortlev, Rt. Hon. C. B. Stuart-
250Wylie," Alexander
Wyndham-Quin, Vlajor W. IL
Yerburgh, Robert Armstrong
Tellers tor the Ayes, Sir William Walrond and Mr. Anstruther.
Ahraliam, Williain (Cork,N.E.)
Abraham, William (Rhondda)
?Allan, William (Gateshead)
Allen,Win. (Newc. under Lyme
JAUieon, Robert Andrew
Arch, Joseph
Ashtcin, Tin nias Gair
Austin, Sir John (Yorkshire)
Now, John Emmott
IGBayley, Thomas (Derbyshire)
Birri'U, Augustine
Bolton; Thomas Dolling
BecLftrii.ii, Thomas Kyburn
Bums, John
iBnrt, Thonias
Buxton, Sydney Charles
Cildwill, James
Cameron, Robert
Campbell.Bannei man, Sir H.
WUMtKi-. Richard Knight
CoKus-IIardv, Herbert Hardy
Curran, Tlioinas (Sligo, S.)
CJàeî, Janus Henry
NOES.
Davitt, Michael
25Di)lp'n, John
Donelan, Captain A.
Doogan, P. C.
Doughty, George
Ellis, Thos. Edw. ( Mcrionethsh.
30Evans,SirFrancisH.(SöiitIi'ton
Farrell, James P. (Cavan, W.)
Fenwick, Charles
Ferguson, R. C. Munro (Leith)
Flavin, Michael Joseph
35Flynn, James Christopher
Foster, Sir Walter (Derby Co.)
Fowler,RtHnSirHenry(Wol'tn
Fowler, «Matthew (Durham)
Goddard, Daniel Ford
40GoId, Chai l("s
Grey, Sir Eil ward ( Berwick)
Haldane, Richiiril Burdon
Harrison, Charles
Harwootl, George
45Hayne, Rt. Hon. Charles Seale-
Hcdderwick/riif.misChiirles II
8Q
Hplburn, J. G.
Holden, Angus
Horniinan, Frederick John
50Jacoby, James Alfred
JoneSjDiivid Brynmor(Swansea
Jones, William( Carnarvonshire
Kay-Shuttleworth, RtHn.SirU.
Kçàrléy, Hudson E.
55Kilhride, Denis
Kinloch,Sir.ioliiiGef)rge Smyth
Langley, Batty
Lawson.SirWil'frid 'Cumb'land
Leese,SirJoseph F.( Accrington
eOLeuty, Thomas Richmond
Lewis, John Herbert
Lough, Thonias
MacAleese, Daniel
M'Arthin·, William
65M4CaIIaIi. Michael
M'Ewan, William
M'Kcnna, Reginald
M'Leod, John
Maden, John Henry
