62
Heaton, John Hcnniker
Helder, Augustus
Hermon-Hodge, Robert Trotter
Hickman, Sir Alfred
HOHill.RUIn.Lord Arthur(Down
Hill, RtIIn. A. Staveley (Staffs.
Hill, Sir Edward Stock (Bristol
Honre,Edw.Brodie(Hnmnstead
Honre, Samuel (Norwich)
145Hobhouse, Henry
Holland, Hon. Lionel Raleigh
Hopkinson, Alfred
Houldswortb, Sir Wn?. Henry
Howard, Joseph
150Howcll, William Tudor
Howorth, Sir Henry Hoyle
Hozier, James Henry Cecil
Hubbard, Hon. Evelyn
Hudson, George Bickerateth
155HuIsP, Edward Henry
Ilut*i*insontCapt.G. W. Orice·
Isaacson, Frederick Wootton
Jackson, Rt Hon. Wm. Lawks
Jeffreys, Arthur Frederick
160-Ienkins, Sir John Jones
Johnston, William'(Belfast)
Johnstone, John H. (Sussex)
Kay.Slmttlcworth.RtHn^irU.
Kemp, George
]65Kcniick, William
Kenyon, Jimes
Keiiyon-Slaney, CoL William
Kimbcr, Henry
Kinloch,SirJohnGeorgeSmyth
170Kitson, Sir James
Knowles, Lees
Lafonc, Alfred
Laurie, Lieut-General
Lawrence, Edwin (Cornwall)
175Lawson, John Grant (Yorks.)
Lea, Sir Thomas (Londonderry
Lcgh, U on. Thomas W. ( Lane.)
Leighton, Stanley
Llcwéllyn.SirDillwyn-ÍSw'ne'a
180 Lockwood, Lt -CoLAIi-(EsSeX
Loder, Gerald Walter Erskine
Long,CQl.ChadesW.( Evesham
Long,Rt Hn.Warter(Liverpool
Lopes, Henry Yarda Buller
lS&Loyd, Archie Kirkman
Lubbock, Rt Hon. Sir John
Luèas-Shadwell, William
Lyell, Sir Leonard
Lyttelton, Hon. Alfred
lÔOMacartnoy, W. G. Ellison
Maclean, James Mackenzie
Machue, John William
M Calmout CoLH. (Antrim N.
27th February, 1896.
M'Ewan, William«
195M'Iver, Lewis
M'Killop, James
Malcolm,' Ian
Maple, Sir John Blundell
Masssy - Main waring, Hn. W. F.
¿00 Maxwell. Sir Herbert E-
Henor^ Colonel (Lancashire)
Melville, Beresford Valentine
Meysey-ThompsOn, Sir H. M.
Mifbank, Powlett Charles Joan
205Mildmay, Francis Bingham
Milton, Viscount
Milward, Colonel Victor
Monckton, Edward Philip
Monk, Charles James
210Moon, E-lwand Robert Pacy
More, Robert Jasper
Morgan, Hn.Fred.( Montn'tbsh.
Mount, William George
Mowbray, Rt. Hon. Sir John
215 Mundella, RtHn. Anthony John
Murray, Col. Wyndham (Bath)
Newdigate, Francis Alaxajider
Nicol, Djn.-Ud Ninian
Northcote, I Ion. Sir U. Stafford
Ü2001droyd, Mark
O'Neill, Hon. Robert Torreas
Orr-Ewing, Charles Lindsay
Oswald, James Franca
Panlton, James Mellor
225Pearaon,Rt Hon.SirCJ.(Edin.
Pease, Arthur (Darlington)
Pender, James (Northants.)
Penn, John
Philipotts, Captain Arthur
280Platt>Higgins, Frederick
Plunkett/Hon. Horace Cntson
Powell, Sir Francis Sharp
Prctymin, Capt Ernest George
Purvis, Robert
235Pym, C. Guv
Quii ter, William Cuthbert
Reid, Sir Robert T. (Dumfries)
Renshaw, Charles Bine
Richirdson, Thomas
240Ridley JJtJIon.Sir Matthew W.
Ritcbie.Rt Hon-Cliae.Thonison
Rollit, Sir Albert Kaye
Rothschild, Baron F. James de
Russell, Col. F. & (Cheltenham
245RuSSeII, T. W. (Tyrone)
Rutherford, John
Samuel, Harry S. (Limehouse)
Savory, Syr Joseph
Scoble, Sir Andrew Richard
250Seely, Charles Hilton
Seton-Karr, Henrv
Sharpe, William Edward T.
Shaw, Thomas (Hawick B.)
8haw, William Rawson(Halifax
255Sidebotham, J. W. (Cheshire)
Sidebottom, William (Oerbysh.
Simeon, Sir Barrington
Smith, Abel H. (ChrUtchurch)
Smith; James Parker( Lanarks.)
SeÓSmith, Hon. W. F. D. (Strand)
Souttar, Robinson
Stanley, Lord (Lanct?.)
Stanley, Edw. Jas. (Somerset)
Stanley, Henry M. (Lambeth)
265Stirling-Maxwell, Sir John M.
Stock, James Henry
Stone, Sir John Benjamin
Sturt, Hon. Humphry Napier
Tonnant, Harold John *
270Thorburn, Walter .
Thornton, Percy M.
Tomlinson, W ui. Edw. Murray
Tritton, Charles Ernest
. Usborne, Thomas
275Vnlcntia, Viscount
Verney, Hon Richard Greville
Vincent, Col. Sir C. B. Howard
Wallace, Robert ( Perth)
Wanklyn, James Leslie
280Ward,Hon. Robert A. (Crewe)
Warde, Lt-CoI. C. E. (Kent)
Warkworth, Lord          ?
Warr, Augustus Frederic«
Webster, R. G. (St. Paneras)
285Webstcr.SirR.E (Isle of Wight
Welby, Lieut-Col. A. ? Earie·
Weymouth, Viscount
Whiteiey, George (Stockport)
Whiteley, H. (Ashton-under-L.
2dOWhitmore, Charles-Algernon
Wickham, William
Wigram, Alfred Money
Williams, Colonel R (Dorset^
Wül¡ams,JoscphPowell-(B¡rtn.
295Willoúgbby de Ereeby, Lord
Wilson, John (Falkirk)
Wilson-Todd, Wm. H. (Yorks.
Wodehouse, Edmond Robert
Wolff, Gustav Wilhelm
SOOWoodall, William
Wortley.Charles Beilby Stuart-
Wylie, Alexander
Wyndham, George
Wyndham-Quin, Major W. H.
805WyTiIl, Marmaduke rfAxey
Yerbiirgh, Robert Armstrong
Younger, William
Tellers for the Ayes, fife William Walrond and Mr. Anrtrather.
