70
Ridley ,Rt.Ilon.Sir <http://,Rt.Ilon.Sir> Matthew W.
Roberts, John H. (Denbigh«.)
Robertson, Herbert (Hackney)
Royds, Clement Molyneux
HORussell, T. W. (Tyrone)
Samuel, J. (Stockton-on-Tees)
Shaw, Charles Edw. (Stafford)
Sháw, Williain Rawson(IIalifax
Skewes-Cox, Thomas
HSSmith, Abel IL (Christchurch)
Spicer, Albert
Stanley, Lord (Lanes.)
2nd March, 1896.
Stirling-Maxwell, Sir John M.
Sturt, Hon. Humphry Napier
120SuIIi van, Donai ( Westmeath)
Thomas, Abel(Cannarthen,E. )
Thomas, Alfred(Glamorgan, E.
Thomas,David Alfred( Merthyr
Thornton, Percy M.
125Valentia, Viscount
Warde, Lt-CoI. C. E. (Kent)
Warkworth, Lord
Warner, Thomas Courtenay T.
Webster, Sir R.E.( Isle of W.gli I
130Weir, James Galloway
Welby, Lieut.-Col. A. C. Earle-
Weymouth, Viscount.
Whittaker, Thomas Palmer
Wickhain, William
135 Williams, John Carvell (Notts
Williams, JosephPowell- (Birm.
Wilson, Henry J. ( York, W.R.)
Wortley,CharIes Beilby Stuart·
Wylie, Alexander .
140Wyvili, Marmaduke D'Arcy
Tellers for the Noes, Sir William Walrond and Mr. Anstrulher.
