160
Kinloch.SirJohnGeorgeSmyth
140Knowles, Lees
Lafone, Alfred
Lambert, George
Lawrence, Edwin (Cornwall)
"Lawrence, Wm. F. (Liverpool)
1'45LaWSOn, John Grant (Yorks.)
Lea, Sir Thomae (Londonderry
Lecky, WiUiam Edward H..
LJewellyn,SirDillwyn-(Sw'ns'a
Lockwood,Lt.-Col. A.R.fEssex
150Lockwood, Sir Frank ( York)-
Loder, Gerald Walter Erskine
Long,Col.Charles W.(Evesham
Long,R'.Hn.Walter(Liverpool
Lopes,' HenryvYarde Buller
155Loyd, Archie Kirkman
Lucas-Shad well, William
Luttrell, Hugh Fownes
Lyttelton, Hon. Alfred
Macartney, W,- G. Ellison
IGOMacdona, John Cummjng
M'Arthur, William
M'Calmont, Capt. J.(Antrim,E.
M'Ewan, William
M'Kenna, Reginald
165M'Killop, James
Malcolm, Ian
Maple, Sir John Blundell
Martin, Riohard Biddulph
Maesey-Mainwaring, Hn. W. F.
Ì70Mtlbank, Powlett Charles John
Mildmay, Francis Bingham
Monckton, Edward Philip
Monk, Charles James
Moon, Edward Robert Pacy
175More, Robert Jaaper
Morgan,Hn. Fred.(Momn'theh.
Morgan,Rt.Hn.SirG.O.(Denbs.
Morrei!, George Herbert
Morton,Edward JohnChalmers
180Mundella,Rt.Hn.Anthony John
Murdoch, Charles Townshend
19th March, 1896.
Murray, Andrew Graham (Bute
Murray,Col. Wyndham (Bath)
Myers, William Henry
185Nicol, Donald Ninian
Paulton, James Mellor
Pearson,Rt.Hon.SirCJ.(Edin..
Pease, Arthur (Darlington)
Pease, Joseph A. (Northumb.)
190Penn, John
Phillpotts, Captain Arthur
Pickeregill, Edward Hare
Plattj-Higgins, Frederick
Plunkett, Hon. Horace Curzon
195Pretyman, Capt. Ernest George
Pryce-Joncs, Edward
Purvis, Robert
Pym, C. Guy
Reed, Henry Byron (Bradford)
200Renshaw, Charles Bine
Ridley,Rt Hon. Sir Matthew W.
Ritchie,Rt Hon.Chas Thomson
Robertson, Herbert (Hackney)
Russell, Col. F. S. (Cheltenham
205Ruseell, T. W. (Tyrone)
Rutherford, John
Samuel, Harry S. (Limehouee)
Saunderson, Col. Edw. James
Scoble, Sir Andrew Richard
210Seely, Charlee Hilton
Sharpe, William Edward T.
Shaw? William Raweon(Halifax
Sidcbotham, J. W. (Cheshire)
Sidebottom, William (Derbysh.
215Siineon, Sir Barrington
Skewes-Cox, Thomas
-Smith, Abel (Herts)
Smith, Abel H. (Christchurch)
Smith,Jaines Parker(Lanarks.)
220Smith, Hon. W. F. D. (Strand)
Spencer, Ernest*
Spicer, Albert
Stanley, Lord (Lance.)
Stanley, Henry M. (Lambeth)
225 Stewart, Sir Mark J. M'Taggart
Stirling-Maxwell, Sir John M.
Stone, Sir John Benjamin
Straehey, Edward
Strauss,' Arthur
230Strutt, Hon. Charles tied ley
Sturt, Hon. Humphry Napier
Sutherland, Sir Thomas
Talbot,; Lord E. (Chichester)
Taylor," Fraticis
235Thomas, David Alfred( Merthyr
Thorburn, Walter
Thornton, Percy M.
Tomlinson, Wm. Edw. Murray
Tritton, Charles Ernest
240Usborne, Thomas
Valentia, Viscount
Verney, Hon Richard Greville
Walton, John Lawson
Wanklyn, James Leslie
245Warde, Lt-CoI. C E¿. (Kent)
Waring, Col. Thomas
Warkworth, Lord
Warr. Augustus Frederick
WebsW, Sir R.E.( Isle of Wight
250Welby, Lieut-Col. A. C E.
White, James Martin
Whiteley, H. ( Aehton-undcr-L.
Whitmore, Charles Algernon
Williams, Colonel Jl. (Dorset)
255Williams,JosephPowell-(Birin.
Willoughby ?? Ercsby, Lord
Wilson, John (Falkirk)
Wilson-Todd; Wm. H. (York
Wodehouee, Edmond Robert
26OWoIS, Gustav Wilhelm
Woodall, William
Woitley, Charles Beilby Stuart-
Wylie, Alexander
Wyndham, George
265Wyndham-Quin, Major W. II
Younger, William
Yoxall, James Henry
Tellers for the Ayes, Sir William Walrond and Mr. Anstruther.
Abraham, William (Cork,N.E.)
Ambrose,Robert (Mayo, W.)
Cameron, Robert
Clancy, John Joseph
5Clark^ Dr. G. B. (Caithness-sh. )
Crilly ·> Daniel
Curran, Thomas B. (Donegal)
Curran, Thomas (Sligo, S.)
Dillon, John
lODonelan, Captain A.
Doogan, P..C.
EUie, John Edward (Notts.)
Farrell, James P. (Cavan, W.)
NOES.
Farrell, Thomas J. (Kerry, S )
15Fenwick, Charles
Flynn, James Christopher
Goddard, Daniel Ford
Hayden, Luke Patrick
Hutton, Alfred E. (Morley)
2OJ ones, William(Carnarvoneh ire
Knox, Edmund Francie Vesey
Lawson, SirWilfrid(Cumb'land
Lewie, John Herbert
Lough, Thomas .
25 MacAleese, Daniel
M'Dermott, Patrick
M'DonnelLDr.M.A (Queen's'C.
Morgan, J.Lloyd ( Carmarthen)
O'Connor, James ( Wicklow, W.
300'Kelly, James
Oldroyd, Mark
O'Malley, William
Redmond, John E. (Waterford)
Roberts, John H. (Denbigbs.)
35Samuel, J. (Stockton-on-Tees)
Sullivan, Donai ( Westmeath)
Wedderburn/Sir William
Weir, James Galloway
Wilson, John (Durham, Mid.)
Tellers for the Noes, Mr. William Redmond and Mr. Patrick O'Brien.-
