G78                                  25th June, 1896.
N(Z)ES.
Ail:ii.il-II.).rd:C:ipt. Sir A  F.         CUrZIm1HiJLLGN(LaIIcS-W        Hi.hh.iril <http://Hi.hh.iril>, Hon Evelyn
Allso-ip, Hon. George                  fiUCnrzon, Viscount (Bucks.)              Hudsnn. Gi-nr.;,- Hi.·',, r.**.·}
Amhi'.ise, William(.Mid-llesex)        Dalrvmplc, Sir Charles                    Hunt, Sir Frcdi-rii-k .Skt^·
Arm. I, Allr.-il                                  D^ciiport, W. Bromley-           120HiIt1On, John ( Y,.rk« s"j£
5Armi, Sir William                           Davies, Horatio D. (Chitham)        Isaacson, Ficilorii-k \\'w¿
ASCIi)It, l'oberi                                 Disraeli, Coniiigshy Ralph               Jobb, Richard Claveri,«,··*;
Aikiir "ii, Ht. Hon. John             :*5Doringtou, Sir John Edward     .    Jeffreys, Arlhiir Fri·! riti
H ig. t, Capi. Josceliiio FilzHoy        Douglas, Rt. Hon. A. Ak1Ts-          Jenkins, Sir J.ihn ,!¡,-.?
H.i'loirr.s, Lord                                Doxtoid, William Theodore      125John .ton, WìIIì.im·, ¡\)-\ii?m
?.i'H:ilfour,Rt.Ilon.A.J.(Mutich'r        Drucker, G. C. Aílolphus                Kemp, (íeor^··
Ball'i)iir,GeraMWiHiam(Leeils)        Diincoinbo, Hon  Iluhtrt V.            Kenny, Willinn
Banbury, FmI .-rick George         "uDyke.Iit I Ion.Sir William Hart        Kenyon, James
Barnes. Fndoiic Gfirell                   Followes. Hon. Ailtvyn Edward        Konyon-Slanoy, C-d. WiI-J
I'arry.Fr.inéis Tress (Windsor)        Femussoii.Rt.ilii Sir.l.(.Manc'r  130Kimhor, Il-.-nry
1 5?:??????*?!,IL)Ii Allen Bonj-imin        Field, Admiral (Eastbourne)           Ki»g. Sir IIcuy Si-vinos:
Boach.Rt.lln.SirM.II.(Bristol)        Fiehlon, Thomas   «                           Laurie, í.ii ir.-'.'im'r.·!
Boach.W.W.Br:unston( Hants.    75Finch, George II.                             Lawrence. Edwin (Ci.m*:
Beckett. Ernest William                  Finch-Haiton, Men Har.ild II.        Lawson. .Mm Grant iTii
Begg, Ft rdi tan ? Faithful                Finl.iy, Sir Hohe;! Bannntyne    t35Loa,Sir Thom-isi hnnl«
L'OHeinrose. Henry Howe                    Fisher, William Hayes                    Lecky, Willi.??>.??-. Kdwinll!.
