Lucas-Shad well, William
Macartney, W. G. Ellison
Macdona, John Cumming
Maclean, James Mackenzie
l55M'Calmont,Col.II.(AntrimN.
M'Killop, James
Malcolm, Lm
Maple, Sir John Blundcll
Marks, Henry Hananel
160 Martin,. Richard Biddulph
MaNsey-Mainwaring, Hn. W. F.
Mellor, Colonel (Lancashire)
Milbank, Powlett Charles John
Milton,- Viscount
165Milward, Colonel Victor
Monckton, Edward Philip
Moon, Edward Robert Pacy
More, Robert Jasper
Morgan,Hn.Fred. ( Monm'thsh.
170Morrell, George Herbert
Morrison, Walter
Mount, William George
Muntz, Philip A.
Murdoch, diaries Townshend
175Murray, Col. Wyndham ( Bath )
Myers, William Henry
Newdigate, Francis Alexander'
Northcote, Hon. Sir H. Stafford
O'Neill, Hon. Robert Torrone
180Orr-Ewing, Charles Lindsay
Pearson, Rt.Hon.Sir <http://Rt.Hon.Sir> OJ. ;Edin.
Pease, Arthur (Darlington)
Pender, James (Northants )
25th February, 1896.
Phillpotts, Captain Arthur
185Platt-Higgin9, Frederick
Pollock, Harry Frederick
Powell, Sir Francis Sharp
Pretyman, Capt. Ernest George
Pryce-Joiies, Edward
190Piirvis, Robert
Reed, Henry Byron (Bradford)
Rentoul, James Alexander
Richards, Henry Charles
Ridley,RtHon.Sir Matthew W.
195 Ritchie,Ht. IIon.Chae.Thomson
Robertson, Herbert (Hackney)
Royde, Clement Molyneux
Russell,Col. F.S. (Cheltenham
Rutherford, John
200Samuel, Harry S. (Limehouse)
Scoble, Sir Andrew Richard.
Secly, Charles Hilton
Sharpe, William Edward T.
Sidebotham, J.· W. (Cheshire)
2053idebottoin, William ( Derbysh.
Simeon, Sir Barrington
Skewes-Cox, Thomas.
Smith, Abel H. (Christchurch)
Smith, Hon. W. F. D. (Strand)
210Stanley, Lord (Lanes.)
Stanley, Edw. Jas. (Somerset)
Stock, James Henry
Stone, Sir Johu Benjamin
Strutt, Hon. Charles Hedley
2158tuart, James (Shoreditch)
Sturt, Hod. Humphry Napier
45
Talbot, Lord E. (Chichester)
Taylor, Francis
Thorburu, Walter
220Thornton, Percy M.
Tollemachc, Henry James
Tomlinson, VVm. Edw. Murray
Valentra, Viscount
Wallace, Robert (Porth)
225Walton, John Lawson
Wanklyn, James Leslie
Warde, Lt-CoL1C. E. (Kent)
Waring, Col. Thomas
Warkworth, Lord
230 Warr, Augustus Frederick
Webster, R. G. (St. Paneras)
Webster.Sir U. È.( lsloof Wight
Welby, Lieut-Col. A. C.Earlo-
Weyinoiith, Viscount
235Wharton, John Lloyd
Whiteley, George (Stockport)
Whiteley, II. (Ashton-under-L.
Wickham, William
Wigrara, Alfred Money
240Williams, Colonel Ii. (Dorset)
WillUins,Josephl>owòll-(Birm.
Willoughby do Eresby,'Lo?d
Wilson, John W. ( Worc'sh. N.)
Wilson-Todd, Wm. H. (Yorks.
245Wodehouse, Edmond Robert
Wortley ,Charles Beil by Stuart-
Wyndham-Quin, Major W. H.
Younger, William
Tellers for the Ayes, Sir William Walrond and Mr. Anstruthcr.
Abraham, William (Cork.N.E.)
Allan, William (Gateshead)
Allen, Wm.(Newc. under Lyme
Allison, Robert Andrew
5Arch, Joseph
Ash ton, Thomas G air
Atherley-Jones, L.
Austin, Sir John (Yorkshire)
Austin, M. (Limerick, W.)
10 Baker, Sir John
Bowles, T.Gibson (King's Lynn
Brigg, John
Broadhurst, Henry
Buxton, Sydney Charles
15Caldwell, James
Cameron, ,Robert
Carmichael, Sir T. D. Gibson-
Causton, Richard Knight
Cawloy, Frederick
20Channing, Francis Allston
Clark, Dr. G. B. (Caithness-sh.)
Collery, Bernard
Colville, John
Condon, Thomas Joseph
NOES.
2 5 Crean, Eugene
Crilly, Daniel
Curran, Thomas B. (Donegal)
Curran ,-Thomas (Sligo, S.)
Daly, James
30Dalziel, James Henry
Da vies, M. Vaughan- (Cardigan
Dilke, Rt Hon. Sir Charles
Dillon, John.
Douelan, Captain A.
35Doogan, P. C.
Dunn, Sir William
Ellis,. John Edward (Notts.)
Ellis, Thos.Edw. ( Merionethsh.
Engledew, Charles John
40Evans, Samuel T. (Glamorgan)
Farrell, James P. (Cavan, W.)
Ferguson, R. C. Munro (Leith)
Ffrench, Peter
Finucane, John
45Foster, Sir Walter (Derby Co.)
Gibbs, Vicary (St. Albans)
Gibney, James
Griffiths, Ellis J.
N
Hammond, John (Carlow)
áüllarrison. Charles
Harwood, George
Hayue, Rt. Hon. Charles Seale-
Healy, Thomas J. (Wexford)
Hogan, James Francis
55 Holden, Angus
Hutton, Alfred E. (Morley)
Johnson-Ferguson, Jabez Edw.
Joicey, Sir James
Jones, W illiam (Carnarvonshire
eOJordan, Jeremiah
Kearley, Hudson E.
Kilbride, Denis
Labouchere, Henry
Lambert, George
65Langley, Battyr
Lawson, SirWilfrid(Cumb'land
Leng, Sir John '
Lewis, John Herbert '
Lloyd-George, David
70Lopes, Henry Yarde Buller .
Lowther, Rt.Hon. James( Kent)
Luttrell, Hugh Fownes
