378
Hasletf, Sir James Horner
125Hatch, Erneet Frederick Geo.
Havelock-Allan, Sir Henry
Herinon-Hodge.Robert Trotter
HiIl1Rt Hn. Lord Arthur (Down
Hill, Sir Edward Stock (Brietol
130Hqare,Ed w.Brodie( Hampstead
Hoare, Samuel (Norwich)
Hôbhouse, Henry
Holland, Hon. Lionel Raleigh
Hopkinson, Alfred
135Houldsworth, Sir Wm. Henry
Howard, Joseph
Howell, William Tudor
Howorth, Sir Henry Hoyle
Hozier, James Henry Cecil
MOHubbard. Hon. Evelyn
Hudson, George Bicíiersteth
Hutchinson, Capt. G. W. Grice-
Hutton, John (Yorks. N.R.)
Jeffreys, Arthur Frederick
145Johnston, William (Belfast)
Kennawny, Sir John Henry
Kenny, William
Kenyon, James
Kenyon-SIaney, Col. William
150Kimber, Henry
Knowles, Lees
Lafoni-, Alfied
Lambert, George
Lawrence, Edwin (Cornwall)
155Lawson, John Grant (Yorks.)
Lecky, Williain Edward H.
Lees, Elliott (Birkenhead)
Leighton, Stanley
Llewellyn, Evan H. (Somerset)
160Llewelyn,SirDillwyn-(Swans'a
Lockwood, Lt-CoI. A.R.(Essex
Loder, Gerald Walter Erskine
Long,Col. Charles W. (Evesham
Long,Rt.IIn.Walter( Liverpool
l65Lopes, Henry Yarde Buller
Lorne, Marquess of
Lowther, Rt Hon.James(Kent)
Loyd, Archie Kitkman
Lubbock, Rt. Hon. Sir John
170Lucas-Shadwell, Williain
Macartney, W. G. Ellison
Mncdnna, John Cumming
Maclean, James Mackenzie
Madure, John William
175M'Calmont, Col. H. (Antrim N.
14th May, 1896.
M'Calmont, Capt J.( Antrim,E.
M'lver, Lewis
M'Killop, Jamee
Maple, Sir John Blundell.
180Martin, Richard Biddulph
Mellor, Colonel ( Lancashire)
Mcyeey-Thompijon, Sir HJ M.
Milbank, Powlett Charles'John
Mildmay, Francis Bingham
185Milner, Sir Frederick George
Milward, Colonel Victor
Monckton, Ei:ward Philip
Monk, Charles James
More, Robert Jasper
190Morgan, Hn.Fred ( Monm'thsh.
Morgan, J. Lloyd (Carmarthen)
Morrei I, George Herbert
Morrison, Walter
Mount, William George
195 Mowbray, Rt. Hon. Sir John
Muntz, Philip A.
Murray, Andrew Graham (Bute
Murray, Charles J. (Coventry)
Myers, William Henry
200Ncwdign'c, Francis Alexander
Nicol, Donald Ninian
Northcote, Hon. Sir IL Stafford
Orr-Ewing, Charles Lindsay
Oswald, James Francis
205Peáse, Arthur (Darlington)
Pender, James
Pen'n, John
Phillpotts, Captain Arthur
Picrpoint, Robert. .
210Plunkett, Hon. Horace Curzon
Prctyman.Capt. Ernest George
Price, Robert John
Priestley,Sii-W.Ovcrend( Edin.
Pryce-Jones, Edward
215Purvis, Robert
Quilter, William Cuthbert
Rankin, James
Rasch, Major Frederic Carne
Rentoul, James Alexander
220Richardeon, Thomas
Ridley ,Rt. I Ion. Sir Matthew W.
Ritchie,Rt.Hon.Chas.Th*oineon
RoIHt, Sir Albert Kaye
Rothschild, Baron F. James de
225Round, James
Russell, Col. F. S. (Cheltenham
Russell, T. W. (Tyrone)
Rutherford, John
Samuel, Harry S. (Linei,
230Sandys,Lieut.-Col.Thoi]|
Savory, Sir Joseph
Scoble, Sir Andrew Rick,
Seely, Charles Hilton
Seton-Karr, Henrv
235Shaw-Stewart, M.H.(Ra{
Sidebottom.William (Deri
Simeon, Sir Barrington
Smith, Abel (Herts)
Smith.James Parker'Lau
2403mith, Hon. W. F. D1(St,
Stanley, Lord ( Lanca.)
Stanley, Edw. Jas. (83«
Stanley, Henry M. (Lm!
Steveneon, Francis S.
245 Stewart, Sir Mark j.M'Tu
Stirling-Maxwell, Sir JoI
Stone, Sir John Benjama
Straehey, Edward
Strauss, Arthur
250Strutt, Hon. Charles Hd
Sturt, Hon. Humphry X
Talbot, Lord E. (Chiche
Taylor, Francis
Thorburn, Walter
255Tomlins(>n, Wm. Rdw.l
Tritton, Charles Ernest
Usborne, Thomas
Verney, Hon. RicharoMi
Vincent, Col. Sir C. E.H
260Waring, Col. Thomas
Wnrkworth, Lord
Warner, Thomas Coun
Warr, Augustus Freda
Webster, Sir R.E.(lslee/
265Wharton, John Lloyd
Whiteley, H. (Ashton-a
Wickham, William
Williams, Colonel R. (D
Williams,Jose])liPoweiH
270Willoughby de Ercsbt.l
Wilson, Frederick W.($
Wilson, J. W/(Worc'tt
Wileon-Todd,Wm.H(!
Wodehoiise, Edmond I
275 Wortley, Charles Briltoi
Wyndham-Quin, Major1
Wyvili, Maiina.ukeDl
Younger, William
Tellers for the Ayee, Sir Williain Walrond and Mr. Anstruther.
Abraham, William (Cork.N.E.i
Abraham, William (Rhondda)
Allan, William (Gateshead)
Allen, Wm. (Newc. under Lyme
5Asher, Alexander
NOES.
Ashton, Thomas Gair
Ast-uith, Rt. I In.Herbert Henry
Austin, Sir John (Yorkshire)
Austin, M. ( Limerick, W.)
lOBainbridge, Emerson
Balfour.Rt Hn J.Blaii\C
Bayley, Thomas (Derifl
Brigg, John
Broâdhurst, Henrj    ,
l5Brunner, Sir John Tot
