606
Graham, Henry Robert
Gray, Ernest (West Ham) '-,
Green.Walford D.( Wednesb'ry
Greene.IIenrv D. (Shrewsbury
125GuIl, Sir Camer.ui
Gunter, Colonel
Hnlscy, Thomas Frederick
Hamilton, Ut. Hon. Lord Geo.
Hammond, John (Carlow)
1 SOHanbury, lit. 1 Ion. Robert Wm.
Hardy, Lnurchci-, -
Hare, Thomas Liigh
Haslett, Sir James Horner
Hayden, Luke Patrick
135Heath, James
Holder, Augustos
HiU1Rt Hn. Lord Arthur (Down
HiII1RL I In. A. Stnvolcv( .Staffs.
HiIl1SIr Edward Stock'(Bristol
láOHobliouse, Henry
Hopkijnson, Aided
Hornby, William I lenry
Houldswoiih, Sir Win. Ilenry
Hozier, James Hem y Cecil
145Hubbard, Hon. Evelyn
Hudson, Goorge Bickoretotb
Hutchinson, Capt. G. W. Gricc-
Isaacson, Frederick Wootton
Jameson, Major J. Eustace
150Jebb, Richard Cl.-iverhouse
Jenkins, Sir 'John Jones
Johnston, William (Belfast)
Johnstone, John II. (Sussex)
JoIIhTe, Hon. H. George
l55K*euip, G«.·; rsre
Kcnnnwny, Sir John Ilenry
Kenny, William
Kcnrick, William
Kcnyon, J.uncs
leOKenyon-Slancy, Col. William
Kilbride, Denis
Kinibor, Henry
Knowles, Lees
Knox, Edmund Francis Vesey
165Lalone, Allied
Laurie, Lieu·.-General
Lawrence, Edwin ( Cornwall)
Lawrence, Wm F. (Liverpool)
Lawson, J«>bn Grant (Yorks.)
170Lecky, William Edward H.
Lees, Elliott (Birkenhead).
Logli, Hon. Thoiiuu W. ( Lane.)
Leujliton, .Stanley
Llewellyn, Evan H. (Somerset)
l75Llewelyn,SirDillwyn-(Swans'a
Lockwood,Lt.-Col. A.R (Essex
Loder, Gerald Walter Erskine
Long,Col.CharlesW.( Evesham
17thJune, 1896,
Long,Rt.Hn.Walter( Liverpool
ieOLopes, Henry Yarde Buller-
Lome, Marquess of
Loyd, Archie Kirkmin
Lubbock, Rt. lion Sir John
.  Lucas-Shadwell, William
185MacAleese, Daniel
Macartney, W. G. Ellison
Mac.loiia, John Cmuming
Mncleau, James Mackenzie
MacNcill, John Gordon Swift
190M'Cartan, Michael
M'Kenna, Reginald
M'Killop, James
Malcolm, Ian                   ,
Marniere, Lord Edward Win. J.
195 Marks, Henry Hannnel
Martin, Richard Biddulph
«Maxwell, Sir Herbert E.
Melville, Beresford Valentine
Mil ward, Colonel Victor
200MoIIoV, Bernard Ciiarles
Monckton, Edward Philip
Monk, Charles James
Moon, Edward liobiit Pacy
More, Robeit Jasper
205 Morgan, IIn.Fred.( Monm'tlish
Morrell, George H or ber t
Morrison, Walter
Mount, Williain George
Mowbray, Rt. Hon. Sir John
2IuMiIIiU, Philip A.
M un ay, Andrew Graham (Bute
Myers, William Henry
Kcwd'igatc, Francis Alexander
Nicol, Donald Xiniau
215Northcote, Hon. Sir H. Stafford
O'Connor, Arthur ( Donegal)
O'Connor, Jaines( Wicklow, \V.
O'Neill, Hon. Rohert Toirons
Parkes, Ebenezer
22UPeasc, Arthur (Darlington)
Penn, John
:   PliillpottH, Captain Arthur
Pierpoint, Robert
Platt-Higgins, Frederick
225Pfiwcll. Sir Francis Sharp
Priestley,Sir W.Qverend( Edin.
Pryco-Jones, Edward
Purvis, Robert
vPym.C. Guy
230Richards, Ilenry Charles.
Richacdeon, Tkoinis
!    Ridley.RtHon.Sir Matthew W.
Ritchie,Rt.Hon.Chae.Tboinson
Robertson, Herbert (Hackney)
235RoIHt, Sir Albert Kayo
Rothschild, Baron F. James de
.Round, James
.    Royds, Clement Molyneux
.     Russell, T. W. (Tyrone)
240Rutherforil, John
Sniindcrson, Col. Edw. Jmn
.   Savory, Sir Joseph
Scoble, Sir A.ulrewlIicbuJ
Setoii-Karr, Ilenry
245Sh:irpe, William Edward T
Shaw-Stewart, M.!I.(ReiifrtT|
Sidebotham, J. W. (Che*i«)
Simeon, Sir Harrington
Skewes-Cox, Thonias
250Smith, Jniuis l'nrker( Lanark)
Smith, Hon. W. F. D. (Stntlj
Spencer, Ernest
Stanley, Lord (Lanes.)
Stanley, Edw Jas. (Somewai
255Stephens, llinry Ciiarles
Stewart, Sir Mark .».M'Tagpj
Stone, Sir John Benjamin
Strauss, Arthur
Strutt, lion. Charles Hedlei
26nS'illiviin. IW«1 (Wesimeatil
Siitlicrland, Sir Thomas
Talbot, Lord E. ( Chicken«)
Ta!b:it, JolniG. (Oxford Cu,
T.-ivlor, Frain-is
265ThOrbiirn, Walter
Thornton, Pt rey M.
Ttimlinson, Wm. Edw. Mani
Tritimi, Chnrles Erneet
Usborne, Thomas
270Verney, Hon. Rii:l¡ardGrtT¡>
Vincent, Col. Sir C. E. Horn
Wanklyn, James Leslie
War.le, Lt.-Col. C. E. "
Willing, Ct)I. Thomas
275 W:.rk worth, Lord
Warr, «lugiisius Frederick
Webster, R. G. (SL Panel.1
Webster, Sir R. K.( IsleofWIfjt
Welby.Luut.-Col. A. C. B
280Whiteley, George (Suwkporl
Wh iteley ,11. ( Asliton-uades
Whitinore, Charles Alger»
Wickiiam, William
Wiffram, Alfred Money
285 WiIHaInS1JoSePhPoWeIl-(IlT;
Willougbby dc Ereeby, Ld
Willox. John Archibald
Wilson, J.W.(Worc'«h.S!
Wodehousc, Edmond B. (h
290WoIrT, Gustav Wilhelm
Wortley, Rt. Hon. C. B.Sar
Wyndham, George
Yerburgh, Robert Armee·
Tellers for the Ayee, Sir William Walrond and Mr. Anstruther.
