Sharpe, Williain Edward T.
Sidebotham, J. W. (Cheshire)
Sidebottom,William (Derbysh.
Simeon, Sir Barrington
170Skewes-Cox, Thomas
Smith, Abel H. (Christchurch)
Smith, Hon. W. ¡F. D. (Strand)
Stanley, Lord (Lancp.)
Stanley«, Edw. Jan. (Somerset)
175Stone, Sir John Benjamin
Strutt, Hon. Charles Hedley
Talbot, Lord E. (Chichester)
Taylor, Francis
14ft April, 1896.
Tomlinson, Wm. Edw. Murray
180Ueborne, Thomae
Valentía, Viscmnt
Verney, Hon Richard Greville
Vincent, Col. Sir C. E. Howard
Walrond, Sin William Hood
185Ward, Hon. Robert A. (Crewe)
Waring, Col.lThomas
Warkworth, Lord
Warr, Augustus Frederick
Whiteley, H. (Ashton-under-L.
190Whitmore, Charles Algernon
249
Wigram, Alfred Money,
Williame, Joeeph Po wel I- ( Birra.
Willoughby de Ereeby, Lord
Willox, John Archibald
195Wileon, John (Falkirk)
Wilson-Todd, Wm. II. ( Yorks.
Wolff, Gustav Wilhelm
Wyndham, George
Wyndbam-Quin, Major Wj H.
200Wyvill, Marmaduke IJ'Arcy
Yerburgh, 'Robert Armstrong
Younger, William
Tellers for the Ayes, Sir William Houldsworth and Mr. Murdoch.
Abraham, William (Rhondda)
Acland, Rt Hon. A. H. Dyke
Allan, William (Gateshead)
Ambrose, Robert (Mayo, W.)
5Ashton, Thomas Gair
Austin, M. (Limerick, W.)
Baker, Sir John
Bay ley, Thomas (Derbyshire)
Brunner, Sir John TomHnson
lOBuchanan, Thomas R-yburn
Burns, John
Caldwell, James
Cameron, Robert
Carew, James Laurence
liCawley, Frederick
Channing, Francis Allston
Clark, Dr. G.B. (Caithness-sb.)
Colville, John
Condon, Thomas Joseph
20Crilly, Daniel
Cromine, John William
Curran, Thomas B. (Donegal).
Curran, Thomas (Sligo, S.)
Dalbiac, Major Philip Hugji
25 Dalziel; James Henry
Dane, Richard M.
Davies, M.Vaugban- (Cardigan
Davitt, Michael
Dilke, Rt Hon. Sir Charles
30DHlon, John
Don elan, Captain A.
Doqgan, P. C
Doughty, George
Dun combe, Hon. Hubert V.
35Engledew, Charles John
Esmonde, Sir Thomas
Farrell, James P. (Cavan, W.)
Farrell, Thomas J. (Kerry, S.)
Flannery, Fortescue
40Flower, Ernest
Flynn, James Christopher
Goddard, Daniel Ford
NOES.
Gold, Charlee
Goiirley,Sir Edward Temperley
45GuIl, Sir Caneron
Haldane, Richard Burdon
Hammond, John ( Carlo w)
Harrison, Charlee
Harwood, George
50Hayden, Luke Patrick
Hayne, Rt Hon. Charles Seale-
Healy, Timothy M. (N. Louth)
Hemphill, Rt. Hon. Charles H.
Holborn, ff. G.
55Horniman, Frederick. John
Jacoby, James Alfred
Jones,DavidBrynmor(Swansea
Jones, William( Carnarvonshire
Jordan, Jeremiah
60Kenyon, James
Kilbride, Denis
Knox, Edmund Francis Vesey
Labquchere, Henry
Lambert, George
65Leng, Sir John
Lewis, John Herbert
Lloyd-George, David
Lockwood, Sir Frank (York)
Logan, John William
70Lough, Thomas
Lucas-Sbadwell, WUliam
Luttrell, Hugh Fownes
Lyell, Sir, Leonard
MacAleese, Daniel
75MacNeill, John Gordon Swift
M'Calmont, Col. H. (Antrim N.
M'Cartan, Michael
M'Donnell,Dr.M.A.(Queen'sC.
M'Ghee, Richard
80M'Hugh, E. (Armagh, S.)
M'Kenna, Reginald
M'KUlop, James'
Maden, John Henry
Mappin, Sir Frederick Thorpe
85Milbank, Powlett Charles John
Montagu, Sir S. ( Whitechapel)
Morgan,Rt:Hn.SirG.O.(Denbs.
Morgan, J.Lloyd (Carmarthen)
Morton.Ed ward John Chalmers
90Murnaghan, George
Norton, Capt. Cecil William
O'Brien, James F. X. (Cork)
O'Brien, Patrick (Kilkenny)
O'Connor, James (Wicklow, W.
950'KeHy, James
O'Malley, William
Pickard, Benjamin
Pickersgill, Edward Hare
Power, Patrick Joseph
lOOPrice, Robert John
Rasch, Major Frederic Carne
Roche, Hon. Jamee (East Kerry
RoIHt, Sir Albert Kaye
Ruseell, T. W. (Tyrone)
l05Samuel, J. (Stockton-on-Tees)
Shaw, Charles Edw. (Stafford)
Shaw, Thomas (Hawick B.)
Shee, James John
Smith, Samuel (Flint)
HOSouttar, Robinson
Straehey, Edward
Stuart, James (Shoreditch)
Sullivan, Donai (Westmeath)
Ure, Alexander
115Wallace, Robert (Perth)
Wayman, Thomas
Wedderburn, Sir William
White, «James- Martin
Williams, John Carvell (Notts.
120Wilson, Frederick W. (Norfolk
Wilson, Henry J. ( York, W.R.)
Wilson, John (Govan)
Young, Samuel ?
Yoxall, James Henry
Tellers for the Noes, Mr. Field ¡and Mr. Herbert Roberts.
