226
Myers, WiUiam Henry
Nicol, Donald Ninian
Pearson, Rt.Hon. Sir C. J.(Edin.
85Phillpotts, Captain Arthur
Piatt-Higgins, Frederick
Purvis, Robert
Richardeon, Thomas
Ridley.Rt.Hon.Sir Matthew W.
90Robertson, Herbert (Hackney)
RoUit, Sir Albert Kaye*
Russell, T. W. (Tyrone)
10th AprU, 1896.
Samuel, Harry S. (Limehouse)
Sharpe, William Edward T.
95Sidebottom,T. Harrop(Stalybr.
Simeon, Sir Jferrington
Skewes-Cox, Thomas
Smith, Abel H. (Christchurch)
Souttar, Robinson
lOOSpençer, Ernest
Stanley, Lord * ( Lance )
Strauss, Arthur
Sturt, Hon. Humphry Napier
Sutherland, Sir Thomas
105Talbot, Lord E/ (Chichester)
Vincent, Col. Sir C E. Howard
Waring, Col. Thomas
Webster, Sir R.E.( Isleof Wight
Wigram, Alfred Money
110Williams,JosephPowell-(Birm.
Wilson, John (Falkirk)
Wortley ,Charles Beilby Stuart -
Younger, William
Tellers for the Noes, Sir WUliam Walrond and Mr. Anstruther.
