112
lift March, 1896.
5 h. 20 m.
B. M.
Numb. 41.
Motion made, and  Question  proposed, " That the Bill be  committed to the  Standing
Committee on Law, &c. :-( Viscount Cranborne : )-
Amendment proposed, to leave out the words " the Standing Committee on Law, &c."
and add the words "a Select Committee:"-(Colonel Sandy*:)-
Question put, " That the words ' the Standing Committee on Law, dec.' stand part of the
Question:"-The House divided; Ayes 263, Noes 62.,
AYES.
Acland-Hood, Capt. Sir A. F.
Allison, Robert Andrew
Allsopp, Hon. George
Anstruther, H. T.
5Arrol, Sir William
Atkinson, Rt. Hon. John
Bagot, Capt. Josceline FitzRoy
Baillie, James E. B. (Inverness)
Baird, John George Alexander
lOBalcarres, Lord
Baldwin, Alfred
BaI four, Rt. Hon. A.J.(Manch'r
Balfour,GeraidWilliam(Leeds)
BanbUry, Frederick George
15Banes, Major George Edward
Barnes, Frederic Gorell
Bartley, George C. T.
Beaumont, Wentworth CB.
Begg, Ferdinand Faithful
20Bemrose, Henry Howe
Bentinck, Lord Henry C.
Bcthell, Commander
Bigham, John Charles
Bigwooel, James
25BiIl, Charles
Birrell, Augustine
Blundell, Colonel Henry
Bond, Edward
Boulnois, Edmund
30Bousfield, William Robert
Bowles, Capt. H. F. (Middlesex
Brassey, Albert
Broiliick, Hon. St. John
Brookfield, A. Montagu
35Bucknill, Thomas Townsend
Burt, Thomas
Bjrne, Edmund Widdrington
Campbell-Bannerman, Sir H.
Causton, Richard'Knight
40Cavendish, R. F. (N. Lanes.)
Cecil, Lord Hugh
Çhaloner, Captain R. G. W.
Clare, Octavius Leigh
Clarke, Sir Edward (Plymouth)
45Cochrane, Hon. Thos. H. A. E.
Ooghill, Douglas Harry
Cohen, Benjamin Louis
Cooke,C.W.Radcliffe (Heref 'd
Corbett, A. Cameron (Glasgow
50Courtney, Rt. Hon. Leonard H.
CoX, Robert
Cozens-Hardy, Herbert Hardy
Cranborne, Viscount
Cripps, Charles Alfred
55Cross, Alexander (Glasgow)
Cross, Herb. Shepherd (Bolton)
Currie, Sir Donald
Dalkeith, Earl of
Dairymple, Sir Charles
60palziel, James Henry
Davenport, W. Bromley-
Davies,W.Rees- (Pembrokesh.
Denny, Colonel
Disraeli, Conihgsby Ralph
65Dixon-H.irtlaiid,SirFred.Dixon
Donkin, Richard Sim
Döring ton, Sir John Edward
Douglas, Rt Hon. A. Akers-
Doxtord, WUliam Theodore
70Drage, Geoffrey
Drucker, G. C. Adolphus
Duncombe, Hon. Hubert V.
Dyke, Rt Hon.SirWilliam Hart
Ellis, John Edward (Notts.)
75ElHs, Thos.Edw: ( Merionethsh.
Evershed, Sydney
Fardell, Thomae George
Ferguson, R. C.Munro (Leith)
Fergusson,Rt.Hn.SirJ.( Manc'r
80Field, Admiral (Eastbourne)
Finch, George H.
Finlay, Sir Robert Bannatyne
Firbank, Joseph Thomas
Fisher, William Hayes
85FitzGerald, R, TJniacke Penrose
Fitz Wygrani, Sir Frederick
Flannery, Fortescue
Fletcher, Sir Henry
Flower, Ernest
90Folkestone, Viscount
Forster, Henry William
Forwood.Rt Hh. Sir Arthur B.
Garfit, William
Gibbs, Vicary (St Albans)
95GiIeS, Charles Tyrrell
Gilliat, John Saunders
Gladstone.Rt.Hn Herbert John
Godson, Augustus Frederick
Gordon, John Edward
100Goschen, George J. ( Sussex )
Graham, Henry Robert
Gull, Sir Cameron
Gunter, Colonel
Haldane, RichavfT. liurdon
lOöHamüton, Rt. Hon. Lord Geo.
Hanbury,' Rt Hon. Robert Wm.
Hare, Thomas Leigh
Haglett, Sir James Horner
Hatch, Ernest Frederick Geo.
110Hayne,Rt Hon. Charles Seale-
Heath, James
Hemphill, Rf: Hon, Charles H.
Hermon-Hodge ,Robert Trotter
Hickman, Sir Alfred
1 ] 5HiIl, RtHn. A. Staveley(Staffs.
Hoare,Edw.Brodie( Hnmpstead
Hobhpiise, Henry
Houldsworth, Sir Wm. Henry
Howard, Joseph
laOHowell, William Tudor
Hbworth, Sir Henry Hoyle
Hughes, Colonel Edwin
Hülse, Edward Henry
Jackson, Rt Hon. Win. Lawies
125 Jeffreys, "Arthur Frederick
Johnson-Ferguson, Jabez Edw.
Johnston, William (Belfast)
JoIHfFe, Hon. H. George
Kay-ShuttlèworthjRtHn.SirU.
l30Kemp, George
Kennaway, -Sir John Henry
Kenyon, James
