136
70Goulding, Edward Alfred
Graham, Henry Robert
Gray, Ernest (West Ham)
Gireen,W«lfprd D-(Wednesb'ry
Gretton, John
75GuIl, Sir Cameron
Hamilton, Rt. Ilon. Lord Geo.
Hanbury, Rt Hon.RobertWm.
Hanson, Sir Reginald
Hardy, Laurence
80Hare, Thomas Leigh
Harrison, Charles
Havelock-Allan, Sir Henry
Heath,: James
HeIder, Augustus
85HiIl1Rt Hn.Lord Arthur(Down
Holland, Hon. Lionel Raleigh
Hudson, George Bickersteth
Hülse,. Edward. Henry
Jeesel, Captain Herbert Merton
. 90Johnston, William ( Belfast)
JoIHfTe, Hon. H. George*
Kay-Shuttlewortb ,RtHn. SirU.
Kearley, Hudson E.
Kemp, George
?5Kenyon-Slaney, Col. William
Khpwles, Lees
Lawrence, Edwin (Cornwall)
Lawrence, Wm. F. (LiverpopD
Lawson, John Grant (York*.)
100Lockwood,Lt.-Col. A.R.(Essex
Loder, "Gerald Walter Erskine
LongjRtHn.WalteriLiveipool
Lopes, Henry Yard« Buller
. Lome, Marquess of
105Loyd, Archie Kirkman
Ì2th March 1896.
Lucac-Shadwell, William
Macartney, W. G. Ellison
Macdona, John Cumming
. Maclure, John William
HOM'Arthur, William
M'Calmont, Col. H. (Antrim N.
M'lver, Lewis
M'Killop, James
' Malcolm, Ian
llöMassey-Mainwaring, Hn. W. F.
Milbank, Powlett Charles John
Milner, Sir Frederick George
Milton, Viscount
Milward, Colonel Victor
120Monckton, Edward Philip
Monk, Charle* James
Moon, Edward Robert Pacy
More, Robert Jasper
Morrell, George Herbert
125MorrisPn, Walter
Morton,Edward John Chalmers
Murray, Andrew Graham (Bute
Murray, Charles J. (Coventry
Murray,Col. Wyndham (Bath)
130Nicol, Donald Ninian
Orr-Ewing, Charles Lindaay
Pearson,Rt Horn Sir CJ.('Edin.
Philipotts, Captain Arthur
Platt-Higgins, Frederick
135Pollock, Harry Frederick
Pryce-Jones, Edward'
Purvis, Robert
Reed, Henry Byron ( Bradford)
Richardson, Thomas
140Ridley,Rt.Hon.Sir Matthew W.
Ritchie.RtHon.Chas.Thoimon
Royde, Clement. Molyneux
Rueeell, T. W. (Tyrone)
Sandys, Lieut.-Col.Thos. Myles
145Seely, Charles Hilton.
'Sharpe, William E. T:
Shaw, Charles Edw. (Stafford)
Simeon, Sir Barrington
Smith, Abel H. ( Christchurch)
ISOSmith, Hon. W. F. D. (Strand)
Stanley, Lord (Lanes )
Stanley, Edw. Jas. ( Somerset)
Stewart, Sir Mark J M* Taggart
Stirling-Maxwell, Sir John M.
155Strutt, Hon, Charles Hedley
Sturt, Hon. Humphry Napier
Talbot, Lord E. (Chichester)
Taylor, Francis                  '
Tomlinson, Wm. Edw. Murray
160Valentía, Viscount
Wardè, Lt.-Col. C E. (Kent)
Warkworth, ^or^
Webster, R. G. (St. Paneras)
Webster, Sir R.E (Isle of Wight
165Welby, Lieut -Co!. A. C E.
Whiteley, George (Stockport)
Whiteley, H. (Ashton-undsr-L.
Whitmore, Charles: Algernon
Williams,JosephPowell-(Birm.
170Willoughby de Eresby, Lord
Willox, John Archibald*
Wodehouse, Edmond Robert
Wbrtley;Charles Beilby Stuart-
Wylie, Alexander
175Wyvill, Marmaduke D'Arc/
Tellers for the Noes, Sir William Walrond and Mr. Anstruther.
