148
Kelly, Sir FitzRoy
Kendall, Nicholas
Kcnnard, Robert William
Ker, David Stewart'
HOKing, James King (Herefordsh.)
King, John Gilbert (King's Co.)
Knight, Frederick Winn
Knightley, Sir Rainald
Knox, Colonel (Marlow)
145Knox, Hn.Mnj.Stuart(Dungan.)
Lacon, Sir Edmund
Langten, W. Gore
Lascclles, Hn. Egremont Win.
Leader, Nicholas Philpot
150Lcchmere, Sir Edm.A. Hnriey
Legh,MajorCornwall(Chcsh.N.)
Lefroy, Anthony
Lennox, Lord Geo. Gonion( Lym.
Lennox, Lord Henry G. (Chich.
i55Lesl¡cC. Powell
Liddell, lion. Henry George
Lindsay, Hon.Col.Chas <http://Hon.Col.Chas>. (Abing'
Liiidsay.C'ol. Robt Loyd( Berits.
Long, Richard Pcnruddocke
ICO Lopes, Sir Masscy    .
Lowe, Rt. Hon. Robert
Lowther, Captain (Cumberl.W.)
Lowther, James (York)
Malcolm,- John Wingfield
lG.iMunners,Rt Hn.Lord J.( Leic.N.
Manners, Lord Geo.J. (Camb.Co.
Marsh, Matthew Henry
Meiler, Captain
Miller, Siearne Ball (Armagh)
170.M illcr.Tuverner Jn. (Colchester)
Mitford, William Townley
Montagu, Lord Robert
Montgomery, Sir Graham
Morgan, Octavius (Monmou'hs.
175Murgan,Hon.Maj.(Ureconshire)
ílth June, 1866.
Mowbray, Rt. Hn. John Robert
Naas, Lord
Neeld, Sir John
Neville-Grcnville, Ralph
180Newdegate, Charles Newdigate
North, Colonel
Northcote, Sir Stafford Henry
O'Neill, Edward
Packe, Charles WiIIm. (Lcic. S.)
185 Paget, Rich. Horner
Pakington, Rt. Hon. Sfr John
PaIk, Sir Lawrence
Parker, Major Windsor
Patton, George
lOOPaull, Henry
Peel, RtHn. Gen. (Huntingdon)
Pennant, Hon. Colonel
Percy, Major-Gen. Lord Henry
Phillips, George Lort (Pembrok.
195Powell, Francis Sharp
Price, William Philin,(Gloucester
Read, Clare Scwell
Repton, George William John
Ridley, Sir Matthew White
200Robertson, Patrick F. (Hastings
Utdt, John
Royt-ton, Viscount
Russell, Sir Charles (Berkshire)
Sandford, Geo. Montagu W arreo
205Schrciber, Charles - · *
Sclater-Booth, George
Scott, Lord Henry (Selkirksh.)
Scourfield, John I Ienry
Selwin, Henry John (Essex, S.
210Sclwyn, Charles J. (Camb. Univ.
Sererne, Jolin Edmund
Seymour,George 11. (Antrim Co*.
Simonds, William Barrow
Smith, Samuel Geo. (Aylesbury)
215Sotnerset, Colonel
Stanhope, James Banks
Stanley, Lord (King's Lynn)
Stanley, Hon. Fred. (Preston)
Stirling-Maxwell, Sir William
220Stronge, Sir James M.
Stuart, LieutCol.Wm.(Bedfori)
Stucley, Sir George Stucley
Sturt, Heury Gerard (Dorset)
Sturt, Lt-CuI. Napier (Dorchea
225Surtee¿, FrevUle (Durham, 8.)
Surtees, Henry Edw.(Hertfordt
Syke*. Christopher (Beverley)
Taylor, Colonel (Dublin Co.)
Thorold, Sir John Henry
230Thynne, Lord Henry Fred. ·
Tottenham, Lt-CoI. CharlesG*
Treeby, John Wright
Trollope, Rt. Hon. Sir John
Turner, Charles
235Vandelcur, Colonel
Verner, Edw. Wingfield (Lisbon
Walcòtt, Admiral
Walker, Major George G.
Wal|K)lb,RtHn.Spenceì»Horitìo
240Walrond, John Walrond
Walsh, Arthur (Leominster)
Walsh, Sir John (Radnorshire)
Waterhouse, Samuel
Welby, WilUam Earle
245Whitesidc, Rt Hon. James
Whitniore, Henry
Williams, Colonel (Marlow)
Williams, Fred. Martin (Trun)
Wise, Henry Christopher
250Wooild, Basil Thos. (Knarasbo)
Wyndham, I Ion. H. (Sussex,WJ
Wynn,Chas.W.WiUiams(Moai
Wynne, Wm. R. M. (Merioneu)
Yorke, John Reginald
Tellers for the Ayes, Colonel Gilpin and Colonel Barttelot
Acland, Thomas Dyke
Adair, Hugh Edward
Akroyd. Edward
