138
Hutt, Rt. Hon. Sir WUUam
Ingham, Robert
James, Edward
Jardine, Robert
155Jervoise, Sir Jervoise Clarke
Kearsley, Captain Robert
Kennedy, Tristram
King, Hn, P. Jn. Locke (Siirr. E.
Kinglake, Alex. Wm. (Bridegw.)
ieOKinglake, Jn. Alex. (Rochester)
Kingscote, Colonel
Kinnaird,Hn. Arthur Fitzgerald
Knatchbull-Hugessen, Edward
Laing, Samuel          '
165Layard, Austen Henry (Southw.
Lamont, James
Lawrence, William
Lawson, Rt. Hon. James A.
Leatham, William Henry
170Lee, WiUiam (Maidstone)
7th May, 1866.
200Moore, Charles (Tipperary)
More, Robert Jasper (Salop, S.)
Morris, WilUam (Carmarthen)
Morrison, Welter.
Murphy, Nicholas Daniel
205Neate, Charles
Nicol, James Dyce
Norwood, Charles Morgan
O'Brien, Sir Patrick
O'Donoghue, -The
210Ogilvy, Sir John
Oliphant, Lawrence
O'Loghlen, Sir Colman Michael
Onslow, Guildford
O'Reilly, Myles WUIiam
2150tway, Arthur John
Owen, Sir Hugh Owen
Padmore, Richard
Palmer, Sir RoUndeU
Pease, Joseph. Whitwell
Legh.Major Cornwall(Chesh.N.) 220Peel,Rt.Hp.SirRob.(Tamworth
Leeman, George
Lefevre, George John Shaw
Lewis, Harvey
175Loeke, John
Lusk, Andrew
MacEvoy, Edward
Mackinnon, Capt L. Bl (Rye)
Mackinnon,Wm. Alex. (Ly mingi
leoM'Laren, Duncan
Maguire, John Francis
Mainwaring, Townshend
Marjoribanks, Dudley Coutts
Marshall, WiUiam
185Martin,C.Wykeham(Newp.I.W,
Peel, Arthur Wellesley (Warw.)
Peel, John (Tamworth)
Pelham, Lord'
Peto, Sir S. Morton
225PhUips,R.Needham (Bury ,Lane.
Pirn, Jonathan
Piatt, John     ,        .
Pollard-Urquhart, WiUiam
Potter, Edmund (Cariisle)
230Potter, Thos. Bayley (Rochdale
Power, Sir James
Price, Rich.Green (New Radnor)
Price, WilUam Philip (Gloucester
Pry se, Edward Lewis (Cardigan)
Martin,PhU.Wykeham(Ròchest. 235Pritchard, John
Matheson, Alex. (Inverness)
Matheson, Sir James (Ross)
Milbank, Frederick Acclom
190MiIl, John Stuart
MiUer, William (Leith)
Mills, J..Remington
MUton, Viscount
Mitchell, Alexander (Ber. on.Tw.
195Mitchell, Thos. Alex. (Bridport
Moffatt, George
Moncreiff, Rt. Hon. James
Monk,. Charles James .
Monsell, Rt. Hon. WUUam
Proby, Lord
RawUnson, Sir Henry
Rebow, John Gurdon
Robartes, Thomas James Agar
240Robertson, David (Berwickshire
Rothschild,Baron M.de (Hythe)
Rothschild,Nath.M. de (Aylesb.
RusseU, Arthur (Tavistock)
RusseU, Hastings (Beds)
245Rusâell, Francis W. (Limerick)
RusseU, Sir WiUiam (Norwich)
St. Aubyn, John
Salomons, Mr. Alderman
Samuda, Joseph D'AguUar
250Samuelson, Bernhard
Scholefield, WUUam
Scott, Sir WUIiam (Roxburghsh.
Scrope, George Poulett
Seely, Charles
255Seymour, Henry Danby (Poole)
Shafto, Robert Duncombe
Sheridan, Henry B. (Dudley)
Sheridan, Rich. Brinsley (Dorch,
Sherriff, Alexander Clunes
260Simeon, Sir John
- Smith, John Abel (Chichester)
Smith,JohnBenjamin(Stockpoit
Speirs, Archibald Alexander
Stacpoole, William
265Staniland, Meaburn
Stanley,Hn.Wm.Owen(Beaum.
Stansfeld, James
Steel, John
Stone, WUIiam Henry
270Stuart, Col. Crichton- (Cardiff)
Sullivan, Edward
Synan, Edmund John
Talbot, Chris. Rice Mansel
Taylor, Peter Alfred (Leicester)
275Tite, William
Torrens,W.T.M'CuUagh(Fuisb.
Trevelyan, George Otto
VUliers, Rt. Hon. C. Pelham
Vivian, Henry Hussey (Glamor.
280Vivian, Capt. Hn. J. C. W. (Truro
Waldegrave-Leslie, Hon.George
Warner, Edward
Watkin, Edward WiUiam
Weguelin, Thomas Matthias
285Western, Sir Thomas Burch
Whalley, George Hammond
Whatman, James
Whitbread, Samuel
White, James
290Whitworth, Benjamin
Wickham, Henry Wickham
Williamson, Sir Hedworth
Winnington,Sir Thomas Ed ward
Woods, Henry (Wigan)
295WyId, James
Wyvill, Marmaduke
Young, Richard (Cambridgsn.)
TeUers for the Ayes, Mr. Brand and Mr. Adam.
Adderley,Rt.Hn.Charles Bowyer
Annesley, Hon. Colonel Hugh
Anson, Hon. Major
Archdán, Captain Mervyn
SArkwright, Richard
BaggalUty, Richard
Bagge, WilUam
Bagnali, Charles
Baüey,SirJOsephRusseU (Heref.
lOBailUe, Henry J. (Inverriess-eh.)
NOES.
Baring, Henry B. (Marlboro')
Baring, Thomas (Huntingdon)
Barnett, Henry
Barrow, WUUam Hodgson
15Barttelot, Colonel
Bateson, Sir Thomas
Bathurst, Alien Alexander
Beach,SirMichaélHicks(Glos.E.
Beac^W.W.Bramsto^H'utsN.
20Bective, Earl of
Beecroft, George Skirrow
Bentinck, George Cavendish
Benyon, Richard
Beresford, Capt Denis W. Pack·
25Bernard, Hon. Col. H. Boyle
Biddulph, Col. R. M. (Denbigh!
Biddulph, Michael (Herefordsh.
Bingham, Lord
Booth, Sir Robert Gore
SOBournej Colonel
