Jones, Wilson (Denbigh)
Kemp, Thomas Read
Knjghtley,*Sir Charles
70Law, Hon.. Charles Ewan
Lawson, Andrew-
Lister; Ellis Cunl me1.
Lowther, John Henry*(York)
Aladean, Donald
75AIaunscll, Thomas Philip
Alolesworth, Sir William
Alullins, Frederick William
Mnsgravc, Sir Richard
Nagle, Sir Richard
800'Brien, W. Smith (Linter. Co.
O'Connell, Daniel (Dublin)
O'Connell, John (Youghal)
O'Connell, Al. J. (Kerry Co.)
O'Connell, AIorgan (Aleath)
Ï07
OOPcchcll, Captain
Perceval, Colonel
Pinncy, William
Plumptref John Pemberton
PliMket, Hon. Randal Edward
itoPolhill, Frederick
Potter/ Richard
Poulter, John» Saver
Power,; James
Price, Sam. .Grove (SaudnJcli)
lOOPryme, George
Richards, John
Robinson, George Richard
)        Roche, David
Roebuck, John Arthur
105 Rut h ven, Ed ward
»Sciiolcticld, Joshua
Stuart, Lord Dudley (Arundel)
Surrey, Earl of
115TaIbJt, J. Hyacinth (New Ross)
Talfoiiril, Mr. Serjeant
Tehnciit, James Emerson
Thomas, Colonel
Thompson,£olohel (Hull)
I'iOTfevor, Hoh.'Àrthui:'(Durham)
Tulle) Charles Augilstiis.
Twiss, Horace
ViviajvAIajorÇharlcs (Bodmin)
W akl'ey, Thomas
I WWiisxm, Rigby
WhauVy, iiir Samuel
White, Saturici
Wilkins, Walter
.fi^Villiams, William (Coventry)
Scott, SirEdw.Dtihnaii(LtclinV) fó<'Williaiiis,W.Aildams(Moiim's.)
SSO-Conor Don.
Ol¡pliant', Lawrence
Parrott, -Jasper
Parry, Sir<L. P. Jones
Pease", SSkcyih
Tellers for the Ayes, lion. Grant ley Berkeley and Hon-. Cecil Weld Forester.
Scoui field, William. I Ienry
Sibthorp, Colonel
lloSmiih, Benjamin (Sudbury) >
Smyth, SicfHejiry (Colchester)
Strickland,' Sir George
Williamson, Sir Hedworth
Wood, AIr.-Alderman (London·)
Young, Sir William (Bucks)
Baulk», Hugh Duncan
Baines, Edward
Balfour, Thomas
Baring, Francis (Thctfonf·
¿,Baring, Thomas (Yarmouth.)
Bariy, Garrett Standisti
Bentinck, Lord William
Bethell, Richard
Boiling, William
lOBonliam, Robert Francis
Bramston, Thomas William
'Duller, Sir John Yarde
Cavendish,HoD.Compton (Suss.
Cavend ish, Hou.G. II. (Derbys.)
15Chalmcrs, Patrick
Chaiitlos, AIarcpiis of
Chaplin, Colonel
Childers, John Walbanku
Churchill, Lord Charles
eoClcrk, Sir George
Clive, Hon. Robert Henry
Colborne, Nie. Wm. Ridley
Conolly, Edward Michael
Crawley, Samuel
.aïCurtcis, EiKvard Barrett (Rye)
Dillwyn, Lewis Weston
East, James Buller
Eastnor, Lord-. \'iscount
Egerton, Lord Francis.
30Ellice, Rt. Hoi). Edward
Evans, George (Dublin Co.)
Fort, John
('fu I burn, Rt. Hon. Henry
Griinston, Lord Viscount
;J5lIalsc, James
Hastie, Archibald
Heathcoat, John (Ti voi ton)
Mill, Sir Rowland.
Hodgés, TIu)IiIiIS Ljiw (Kent)
40llope, James (Linlithgowshire)
lIolhiiin,Loi-il
Howicl,', Lord Viscount
Ingham, Robert
fijgíis, Sir .Robert Hurry
?ISKcarslcy, John Hudson
King, Edward Boltoii
Kiiatclibiill, Rt. Hon. Sir Edw.
Lefevre, Charles Shaw
Lefroy, Rt. Hon.T.(Du1jlinUn )
.-jQLciiiiox,- Lord George (Sussex)
Lincoln, Earl of
Ala'ckiniioi), Wm. Alexander
AIrLeod, Roderick
Alaunen·-, Lord Charles S.
55Marjoribanks, Stewart
Alarslaiid, Thomas
Alatile, Hon. Fox
AIorgan, Charles AIorgan R-
N'ortli, Frederick
(joO'Ferrall, Richard Alore
Palmer, General (Bath)
Parker, Montagu (Devon)
Penelarves, Edward- W. W.
Pigot, Robert
!'.iRicliford, William
Hooper, John BonfOy ,
Russell, Charles (Reading)
Russell, Lord John
Russell, Lord Charlea' (Beds)
Tt)RyIe, John
Sharpc", General'
Sheldon, Edward.It. C.
Sini th, Jl. Vernon ( Northainpt.)
Somerset, Lord E. (Cirencester)
75.Spe-irs, Alexander
Sleiiart, Robert Tlladdingtdn)
Strut tv Edward
Stuart, Lonl James (AyrBurghs)
Stiirt, Henry Charles)
SoTrelawny, Sir William
Tic vor, ?????. G. Rice (Caer msl ?.)
Turner, William
Vere, Sir Charles Broke
Vesçy, Hon. Thomas
'«Vivian, John Henry" (Swansea)
Walker, Richard (Bury)
Wallace, Robert
Walpolc, Lon"
Walter, John
!fOWarburton, IIenry*T.
Weylantl, Arajor
Wood, Charles (liaiuax;
Wood, Col. T. (Breconshirc)
Wynir, Rt. Hon. G. W.(Montg's)
1)5 Young, John (Cavan)
Tellers for the Noes, AIn Villiers and AIr. Alethiien.
&P2
