Maunsell, Thomas Philip
Meynell, Captain
Miles, William (Somersetshire)
Mosley, Sir Oswald
(¡¿O'Ferrall·, Richard Alore
Packe-, Charles William
Parker, Montagu (Devon)
Pechell, Captain
Pelham,I In.C. Anderson (Line.)
7t)Pendarves, Ktlward W. W.
Pigbt, Robert
Plumptre, Juhn Pemberton
Plunkett, Hon. Randal Edward
96
Poyntz, William, Stephen
75 Pryme, George
Ridley, Sir Matthew White
Rooper, John Borifoy
Rundle, John
Russell, Lord (Tavistock)
8üScott, Sir Edw. Dolman (Lichfi.)
Sharpe, General
Sheldon, Kdward R. C.
Smith R. Vernon(Nor^hampt.)
Smyth, Sir Henry (Colchester)
85Speirs, Alexander
Stanley, Edward (Cumberland)
Steuart, Robert (Haddington)
Talfourd, AIr. Serjeant
Tancred, Henry William
OOTennent, James Emerson
Thompson, AIr. Alderman
Thornely, Thomas
Tooke, William
Troubridge, Sir Edw. Thomas
95Tumer, William
Vere, Sir Charles Broke
Verney, Sir Harry
Williamson, Sir Hedworth
Young.Geo. Fred. (Tynemouth)
Tellers for the Noes, AIr. Handley, and Colonel Sibthorp.
Bishops,-AIotion made, and Question put,-" That it is the opinion of this House that the
attendance of the Bishops in Parliament is prejudicial to the cause of Religion:"-(Mr.
lii/tpon:)-The House divided ;  Aye's 5"j ; Noes 180.
Bewes, Thomas
Bish, Thomas
Bowes, John
Bridgeman, Hewitt
.OBrotlicrtoii, Joseph
Buckingham, James -Silk
Chalmers, Patrick
Chapman, Lowther (Wr^lcath)
Codrington, Admiral
10C< Hier, John
Duncombe, Thomas (Finsbury)
Elphilistone, IIow.artl.
Evans, George (Dublin Co.)
Ewart, Williii-11
lcfFergus, John
Fcrguso1i,S:rRuiiald(Nôttiiigh.)
Osborne, Thomas
(¡rote, George
AYES :
Gully, John
201'l.irvey, Daniel Whittle
Hastie, Archibald
Hindley, Charles
Hoi sitian, Edward
IIunit», Joseph
25Himi|)hery, JtHin
Leader, John Temple
Lushington, Chas. (Asliburton)
AIangles,.James
AÍitrjoribanks, Stewart
30AIiirsla ? il, Henry
Miilliiis, Frederick William
Nagle, Sir Richard
OVouncll, Daniel (Dublin)
O'Connell, John (Ytiughal)
350'('oniiell, AL J. (Kerry Co.)
Oliphant,  Lawrence
Oswald, James
Parrott, Jasper
PatiisDi), James
4-OPease, Joseph
PIuIi))S, Alark (Manchester;
Potter, Richard
Pi}nie, George
Roebuck, John Arthur
45Talbot,J. Hyacinth (New Ross)
Thompson. Colonel (Hull)
Thornely, Thomas
Villiers, Charles Pelham
Wakley, Thomas
ÎOWallace, Robert
Warburton, Henry
Wcmyss, Captain
Williams, Sir J. (Carmartheiis.)
Tellers fur t lit* Ayes, AIr. Rippon and AIr. (¡ilion.
Alsager, Captain
Angerstein, John
Arbuthnott, Hon. Hugh
Ashley, Lonl
¿¡Barclay, David
Barclay, (.'liarles
Baring, F. Thornhill (Portsmo.)
Baring, Francis (Thetf'ord)
Baring, H. Bingham (Marlbro )
lOBariug. W. Bingli'iiii (Winch.)
Baring, Thomas (Yarmouth)
Barnard, Kdward George
Barneby, John
Bell, .Matthew
1.0Bentinck, Lord William
Beresford, Sir John
NOES :
Bcthcll, Richard
Blackburne, Ireland (Waning.)
Bonhiim, Robert Francis
gOBrownrigg, Studholme
Brucc,C. L. Cuinming (Inveri). )
Brudenell, Lord
Burrell, Sir Charles
Calcraft, John Hales
25Campbcll, Sir Hugh
Canning, Rt. Hon.SirStratford
Cartwright, William Ralph
Chaplin, Colonel
Charlton, Edmund Lechmerc
SOCbichester, JL P. Bruce(Barnst.)
Churchill, Lord Charles
Clerk, Sir George
Codrington, Christopher W.
Cole, Lord Viscount-
35Compton, Henry Combe
Conolly, Edward Michael
Cowper, Hon. W. F.
Darner, Geo. Lionel Dawson
Darlington, Earl of
.tüDenisoii, William J. (Surrey)
Dick, Quintili
Doiikin, Sir Hufane
DuHicld, Thomas
Dugdale, William Stratford
45Dundas, J. Deans (Devizes)
Egerton, William Tatton
Egerton, Sir Philip
Elley, Sir John
